round,client_id,epoch,phase,loss,accuracy,precision,recall,f1,model,num_clients,run_id,alpha
9,3,1,train,0.3111532812956536,0.9103875968992248,0.922655112703922,0.6672868217054263,0.7442075183196603,DistilBART,5,20250824_054950,0.1
9,0,1,train,0.3852264731077947,0.8726953467954346,0.8982951674628277,0.7035411179397132,0.7544056445658299,DistilBART,5,20250824_054950,0.1
9,-1,1,validation,0.075084029031369,0.6514588859416446,0.6857594143885472,0.6514588859416446,0.6459279125662938,DistilBART,5,20250824_054950,0.1
10,2,1,train,0.2621737144126921,0.9269772481040088,0.9482782238510942,0.7484290357529794,0.7736305292237827,DistilBART,5,20250824_054950,0.1
10,1,1,train,0.3269881334293771,0.8976833976833977,0.9019209692433816,0.750965250965251,0.7923592783156335,DistilBART,5,20250824_054950,0.1
10,3,1,train,0.2690822514843675,0.9274418604651165,0.9308947730591712,0.7215503875968993,0.7903741880334755,DistilBART,5,20250824_054950,0.1
10,0,1,train,0.343702158812329,0.8867427568042142,0.8793600591037666,0.7284167398302605,0.768892096621451,DistilBART,5,20250824_054950,0.1
10,4,1,train,0.2749292417247961,0.9316517493897476,0.9654060469434012,0.7607811228641171,0.8458797890073256,DistilBART,5,20250824_054950,0.1
10,-1,1,validation,0.074459487183973,0.6525198938992043,0.6974984953026176,0.6525198938992043,0.6460082281256894,DistilBART,5,20250824_054950,0.1
11,1,1,train,0.2924730000833486,0.9127413127413128,0.9029544975362525,0.7579150579150579,0.7945573412127761,DistilBART,5,20250824_054950,0.1
11,0,1,train,0.3290313074591561,0.8914252268071408,0.9137847223561968,0.7582674860989171,0.8068550351878203,DistilBART,5,20250824_054950,0.1
11,3,1,train,0.2293222366859859,0.9423255813953488,0.9481264319392791,0.7572093023255814,0.8272275930464141,DistilBART,5,20250824_054950,0.1
11,2,1,train,0.2287302895619898,0.9365113759479956,0.9390063323586654,0.762513542795233,0.7791241524511938,DistilBART,5,20250824_054950,0.1
11,4,1,train,0.2609454687055829,0.9300244100895037,0.9666738821333702,0.7217249796582588,0.8169078889474425,DistilBART,5,20250824_054950,0.1
11,-1,1,validation,0.0740016729054621,0.6644562334217506,0.7215648960082508,0.6644562334217506,0.6649056955381557,DistilBART,5,20250824_054950,0.1
