round,client_id,accuracy,macro_precision,macro_recall,macro_f1,num_samples
22,0,0.7166212534059946,0.16197822141560797,0.1501526705178048,0.11606922552481473,367
22,1,0.6036866359447005,0.30219871729177317,0.2796522002772003,0.261181299519993,434
22,2,0.6075085324232082,0.44951560402943397,0.44631596465746803,0.4114645342335362,293
22,3,0.6804308797127468,0.22366465513593106,0.23784845209544903,0.19852916108073781,557
22,4,0.772,0.20353223593964334,0.16378128683828164,0.1792247851035359,250
22,5,0.6923076923076923,0.33076367389060884,0.3105820938000869,0.31390511069100563,247
22,6,0.7829787234042553,0.444751117505201,0.4561045550596634,0.43493082153745466,470
22,7,0.758957654723127,0.3377436677012889,0.4403065109745323,0.3450480984983567,614
22,8,0.7985781990521327,0.4012285549157558,0.383794630534377,0.3805677336051809,422
22,9,0.6724137931034483,0.37094234496124034,0.3568175091074681,0.3549418199554069,116
