round,client_id,accuracy,macro_precision,macro_recall,macro_f1,num_samples
11,0,0.7002724795640327,0.16162398555296884,0.14564068400418204,0.10859231501515178,367
11,1,0.5253456221198156,0.23003365509181,0.2708868243243243,0.22625154397159997,434
11,2,0.5938566552901023,0.41715676299009635,0.42480936819172116,0.3667130672644352,293
11,3,0.6947935368043088,0.2166914198144793,0.2354130567231588,0.19663124825577047,557
11,4,0.772,0.20856044723969253,0.17746799353016968,0.19105855564188898,250
11,5,0.7044534412955465,0.37950031625553443,0.37336014619751645,0.3666641191384887,247
11,6,0.7851063829787234,0.4380462467623641,0.4543914655176266,0.42856073179455995,470
11,7,0.737785016286645,0.3355364645625716,0.45775444836921064,0.34635546386260563,614
11,8,0.7843601895734598,0.36692771024950954,0.3284246012174467,0.33409446290600414,422
11,9,0.6982758620689655,0.2765824134805098,0.310551720832135,0.2769708361813625,116
