class,precision,recall,f1,support,roc_auc,pr_auc
0,0.7894736842105263,0.09375,0.16759776536312848,160,0.9498112880886427,0.5212927767342235
1,0.7421052631578947,0.7230769230769231,0.7324675324675325,195,0.9590216962524655,0.7668797697131269
2,0.665,0.6751269035532995,0.6700251889168766,197,0.9617023332068915,0.7233414585813834
3,0.6566265060240963,0.5561224489795918,0.6022099447513812,196,0.9582372120644564,0.6466931744572888
4,0.5652173913043478,0.7409326424870466,0.6412556053811659,193,0.9718639957935051,0.7754001850819171
5,0.771551724137931,0.9040404040404041,0.8325581395348837,198,0.990922664494893,0.9180638878562329
6,0.8830409356725146,0.7743589743589744,0.825136612021858,195,0.9839497937959477,0.886108106495176
7,0.8268156424581006,0.7474747474747475,0.7851458885941645,198,0.9776707443980681,0.8313051166501587
8,0.730593607305936,0.8040201005025126,0.7655502392344498,199,0.9853200474509203,0.8768833083826947
9,0.8640776699029126,0.8944723618090452,0.8790123456790123,199,0.993965909074918,0.9438109895925736
10,0.9505494505494505,0.865,0.9057591623036649,200,0.9916792717086835,0.9382220516479344
11,0.5160256410256411,0.8131313131313131,0.6313725490196078,198,0.9750663126223037,0.8516878938778376
12,0.8031496062992126,0.5177664974619289,0.6296296296296297,197,0.9468660185457484,0.691700537487569
13,0.7615062761506276,0.9191919191919192,0.8329519450800915,198,0.9894387605053898,0.9399737858761198
14,0.9096385542168675,0.766497461928934,0.8319559228650137,197,0.984615297188019,0.8935326895990394
15,0.7569060773480663,0.6884422110552764,0.7210526315789474,199,0.9731941702351016,0.7758450027430698
16,0.6699029126213593,0.7582417582417582,0.711340206185567,182,0.979605400173962,0.7824706085834469
17,0.8342245989304813,0.8297872340425532,0.832,188,0.9908540931608396,0.912664246000087
18,0.6283783783783784,0.6,0.6138613861386139,155,0.9631463882568151,0.6568276059863293
19,0.3155080213903743,0.46825396825396826,0.3769968051118211,126,0.937259334762079,0.294932423613692
