class,precision,recall,f1,support,roc_auc,pr_auc
0,1.0,0.01875,0.03680981595092025,160,0.9465373961218836,0.5045274755509626
1,0.7602339181286549,0.6666666666666666,0.7103825136612022,195,0.9573003406849561,0.7619086622872844
2,0.6428571428571429,0.6852791878172588,0.6633906633906634,197,0.9622194660745211,0.7145453414853911
3,0.6055045871559633,0.673469387755102,0.6376811594202898,196,0.9612421913365234,0.6408020956310473
4,0.6439024390243903,0.6839378238341969,0.6633165829145728,193,0.9712773462000316,0.748584989356674
5,0.7344398340248963,0.8939393939393939,0.806378132118451,198,0.9898240523940411,0.9096261039486941
6,0.9115646258503401,0.6871794871794872,0.783625730994152,195,0.9844030840953918,0.8811963986520064
7,0.6946902654867256,0.7929292929292929,0.7405660377358491,198,0.9823677706516454,0.8379568281000019
8,0.8160919540229885,0.7135678391959799,0.7613941018766756,199,0.9847923459357837,0.8724020893685006
9,0.8706467661691543,0.8793969849246231,0.875,199,0.9938448895274469,0.9399232067512361
10,0.9392265193370166,0.85,0.8923884514435696,200,0.9919005602240896,0.9413397280991159
11,0.5207667731629393,0.8232323232323232,0.6379647749510763,198,0.9728471727351906,0.841869727654089
12,0.7569444444444444,0.5532994923857868,0.6392961876832844,197,0.9490879850429264,0.6946336109927608
13,0.6814814814814815,0.9292929292929293,0.7863247863247863,198,0.989188497517165,0.935317647659054
14,0.9,0.7766497461928934,0.8337874659400545,197,0.9841379437717455,0.8948435375884555
15,0.75,0.6633165829145728,0.704,199,0.97090887087355,0.7648795391643178
16,0.676923076923077,0.7252747252747253,0.7002652519893899,182,0.9777677729182745,0.7737280689120604
17,0.8397790055248618,0.8085106382978723,0.8238482384823849,188,0.990576404481034,0.9087184323403968
18,0.6068965517241379,0.567741935483871,0.5866666666666667,155,0.9590023646990586,0.6364097392160181
19,0.2864321608040201,0.4523809523809524,0.3507692307692308,126,0.9366821737842594,0.2861268644111593
