class,precision,recall,f1,support,roc_auc,pr_auc
0,0.8148148148148148,0.1375,0.23529411764705882,160,0.946130540166205,0.5293140000185094
1,0.7315789473684211,0.7128205128205128,0.7220779220779221,195,0.9553136094674557,0.7576802371132374
2,0.6699029126213593,0.700507614213198,0.684863523573201,197,0.960636812188424,0.7164157761996399
3,0.6080402010050251,0.6173469387755102,0.6126582278481013,196,0.9554920457270765,0.6458476821661103
4,0.6822916666666666,0.6787564766839378,0.6805194805194805,193,0.9715134545549358,0.782900417357242
5,0.7377049180327869,0.9090909090909091,0.8144796380090498,198,0.9907416833508659,0.9172015288164866
6,0.9066666666666666,0.6974358974358974,0.7884057971014493,195,0.978451497220728,0.8681257452370654
7,0.7451923076923077,0.7828282828282829,0.7635467980295566,198,0.9782447939642788,0.8203541964027736
8,0.7380952380952381,0.7788944723618091,0.7579462102689487,199,0.9857717599478771,0.8767877542881561
9,0.8663366336633663,0.8793969849246231,0.8728179551122195,199,0.9919451640729551,0.9405177055705655
10,0.9351351351351351,0.865,0.8987012987012987,200,0.9915686274509803,0.938229867398256
11,0.4782608695652174,0.8333333333333334,0.6077348066298343,198,0.974873313199181,0.8486970062410589
12,0.8064516129032258,0.5076142131979695,0.6230529595015576,197,0.9486390455204787,0.696581719988123
13,0.7520661157024794,0.9191919191919192,0.8272727272727273,198,0.9884829538384969,0.9402236325153959
14,0.9363057324840764,0.7461928934010152,0.8305084745762712,197,0.9844206620153123,0.892568720640958
15,0.7823529411764706,0.6683417085427136,0.7208672086720868,199,0.972392063932094,0.7759192300283902
16,0.6818181818181818,0.7417582417582418,0.7105263157894737,182,0.9769837186225147,0.7658979356880804
17,0.8453038674033149,0.8138297872340425,0.8292682926829268,188,0.9894389203701723,0.9039226964786384
18,0.6408450704225352,0.5870967741935483,0.6127946127946128,155,0.9603444429572124,0.65381792716375
19,0.32323232323232326,0.5079365079365079,0.3950617283950617,126,0.9324090045824404,0.3082773513219662
