training,rouge1,rouge2,rougeL,alpha,bleu4
Centralized,0.4152884378384541,0.1952545324619113,0.2869859728751306,,
Centralized,0.4088876238817189,0.1895019808276801,0.2841762553159583,,
Centralized,0.4152884378384541,0.1952545324619113,0.2869859728751306,,
Centralized,0.4088876238817189,0.1895019808276801,0.2841762553159583,,
Federated,42.20421430410253,21.97671032781485,31.65937651405022,0.5,14.419831505168046
Federated,43.41517191800819,21.12537945302235,30.662348347225016,0.5,13.642968588194485
Federated,48.86269409262534,30.489198936370528,38.72799371939149,0.5,21.63537781815603
Federated,42.99553205912753,20.83892725301526,30.84107141145352,0.5,13.171627529284123
