Model,α,Best Round,rouge1,rouge2,rougeL,bleu4,Training Loss
BART-large,0.1,2,42.20421430410253,21.97671032781485,31.65937651405022,14.419831505168046,1.113139053750038
BART-large,0.5,1,43.41517191800819,21.12537945302235,30.662348347225016,13.642968588194485,2.2290039516286173
DistilBART,0.1,4,48.86269409262534,30.489198936370528,38.72799371939149,21.63537781815603,0.8931945240974426
DistilBART,0.5,2,42.99553205912753,20.83892725301526,30.84107141145352,13.171627529284123,1.6145743812833513
