round,train_loss,val_loss,test_loss,rouge1,rouge2,rougeL,bleu1,bleu2,bleu3,bleu4,gini_coefficient,mean_contribution,min_contribution,max_contribution,cv_contribution,num_samples,model,num_clients,alpha,std_contribution
1,2.16018616580505,1.6411370671694936,,42.37801862504867,20.084670429451045,29.642716958132453,32.89039779818885,22.21574581597994,16.816031186191843,13.017658772861225,0.0,5000.0,0.0003437607425232,0.0004782400765184,0.0,5000,DistilBART,2,0.5,7059.75410336649
2,1.4975992940348373,1.641140003855742,,42.37520462488002,20.084355154145204,29.649622448624093,32.89172228571468,22.21769076808478,16.817668136239455,13.019210934828532,0.0,5000.0,0.0003437607425232,0.0004782400765184,0.0,5000,DistilBART,2,0.5,7059.75410336649
3,1.4695926159023762,1.641141654097157,,42.37467221329594,20.07436443445829,29.64049409104325,32.88703854969047,22.21413202207729,16.815605699913945,13.018223598164836,0.0,5000.0,0.0003437607425232,0.0004782400765184,0.0,5000,DistilBART,2,0.5,7059.75410336649
4,1.4757161059791897,1.641136275437962,,42.37580099477715,20.083721858367664,29.65926465589311,32.88708138647088,22.215750702152672,16.816592997501516,13.018897525838312,0.0,5000.0,0.0003437607425232,0.0004782400765184,0.0,5000,DistilBART,2,0.5,7059.75410336649
5,1.476419018043147,1.6411333302192646,1.6575388679397125,42.37588665294159,20.079709693962407,29.660327804166837,32.881584391602374,22.214461275941247,16.81655066384231,13.018930268858954,0.0,5000.0,0.0003437607425232,0.0004782400765184,0.0,5000,DistilBART,2,0.5,7059.75410336649
1,1.7412020869493483,1.6364379445194177,,42.51901774686636,20.127570800262795,29.7753050621121,32.34448338291622,21.80426499367853,16.43917679909037,12.654383669724965,0.0,5000.0,0.0003143665513989,0.0005497526113249,0.0,5000,DistilBART,2,0.1,7069.653598303102
2,1.154029308271408,1.6364394809312106,,42.52907323538251,20.133988956297863,29.783887735836256,32.34421215243191,21.80262419072136,16.437058721115434,12.652864322221255,0.0,5000.0,0.0003143665513989,0.0005497526113249,0.0,5000,DistilBART,2,0.1,7069.653598303102
3,1.1325374211788175,1.6364406774656848,,42.52819390382104,20.13365507433593,29.7732757091436,32.34101856049608,21.80082548881515,16.43594548959418,12.652206429124298,0.0,5000.0,0.0003143665513989,0.0005497526113249,0.0,5000,DistilBART,2,0.1,7069.653598303102
4,1.1347602568626405,1.636441558814917,,42.52554804111792,20.14334138864409,29.768910056815,32.34107312814499,21.80038493204241,16.435512956860556,12.65163155658879,0.0,5000.0,0.0003143665513989,0.0005497526113249,0.0,5000,DistilBART,2,0.1,7069.653598303102
5,1.1746841726064683,1.636442084427991,1.562348342476747,42.52569262599168,20.14628580696607,29.770420521532024,32.3401347467667,21.798604238033786,16.43434877383404,12.650965967054834,0.0,5000.0,0.0003143665513989,0.0005497526113249,0.0,5000,DistilBART,2,0.1,7069.653598303102
1,2.229003894362828,1.5523301022799514,,43.38719655316489,21.063672209910543,30.66978602337116,34.09581903082586,23.14678425850803,17.57536457512578,13.641544618525566,0.0,3333.3333333333335,0.0003456619426201,0.0384615384615384,0.0,5000,DistilBART,3,0.5,5672.402518627652
2,1.6145743812833513,1.55074217013956,,42.99553205912753,20.83892725301526,30.84107141145352,33.61567525058948,22.79450736227578,17.158628134135228,13.171627529284123,0.0,3333.3333333333335,0.0003456619426201,0.0384615384615384,0.0,5000,DistilBART,3,0.5,5672.402518627652
3,1.5746977682011414,1.5507470490945117,,42.9930822611355,20.851131182063444,30.81517978999607,33.618646596059286,22.79608015865844,17.16011506316008,13.17309871977818,0.0,3333.3333333333335,0.0003456619426201,0.0384615384615384,0.0,5000,DistilBART,3,0.5,5672.402518627652
4,1.2689633463172243,1.550644264498777,,42.92335199941844,20.640690973140835,30.630804807287387,33.48975947525224,22.63848051871426,16.98098339885963,12.980670077460994,0.0,3333.3333333333335,0.0003456619426201,0.0384615384615384,0.0,5000,DistilBART,3,0.5,5672.402518627652
5,1.294239256019483,1.5506218512011003,1.628039652971297,42.991446197455296,20.69173428668416,30.647124739022377,33.49659231344395,22.63982764088972,16.981875123634296,12.981863205430784,0.0,3333.3333333333335,0.0003456619426201,0.0384615384615384,0.0,5000,DistilBART,3,0.5,5672.402518627652
1,2.1469003052234648,1.4153517887082536,,42.20550034706708,21.963584631562696,31.65287629449824,31.349651130414887,22.15866632028524,17.628101905371913,14.417178167843696,0.0,3333.3333333333335,0.000314465408805,1.0,0.0,5000,DistilBART,3,0.1,5771.7706410886885
2,1.142985224723816,1.4663534724506384,,48.86935561790335,30.48409411853618,38.71523747039689,37.02091649243631,28.774145438670462,24.684120668631117,21.63471205792461,0.0,3333.3333333333335,0.000314465408805,1.0,0.0,5000,DistilBART,3,0.1,5771.7706410886885
3,1.1278815445661543,1.4663510863600002,,48.85849851674902,30.489151326780306,38.720602891452025,37.023661504743046,28.77651470613443,24.686040134312503,21.63626282581831,0.0,3333.3333333333335,0.000314465408805,1.0,0.0,5000,DistilBART,3,0.1,5771.7706410886885
4,0.8931945240974426,1.4663560659498167,,48.86269409262534,30.489198936370528,38.72799371939149,37.02234513217116,28.77508663662133,24.684861716283155,21.63537781815603,0.0,3333.3333333333335,0.000314465408805,1.0,0.0,5000,DistilBART,3,0.1,5771.7706410886885
5,0.9112832030296326,1.4663574624980815,1.2877457481517454,48.85445914086895,30.48659998494905,38.72061133896815,37.02117685531172,28.774237315161216,24.68418460887837,21.63487192516691,0.0,3333.3333333333335,0.000314465408805,1.0,0.0,5000,DistilBART,3,0.1,5771.7706410886885
1,1.894704639911652,1.9816837369620812,,41.72635908437356,19.979025737906976,29.94171036299158,34.71588487589209,23.294108636156505,16.9023802265174,12.815582506348548,0.0,2000.0,0.0004411116012351,1.0,0.0,5000,DistilBART,5,0.1,2811.8405004551732
2,1.3537060856819152,1.862052444168815,,40.56741752449601,19.4718684678909,29.363172470913547,33.07910364731367,22.454511980692537,16.46043965344446,12.432949461781444,0.0,2000.0,0.0004411116012351,1.0,0.0,5000,DistilBART,5,0.1,2811.8405004551732
3,1.5011243408828947,1.6166737453539652,,42.351783475631045,21.091627773236592,30.13262889366885,34.528361592401225,23.9980926538516,17.990926629343654,13.694710046601864,0.0,2000.0,0.0004411116012351,1.0,0.0,5000,DistilBART,5,0.1,2811.8405004551732
4,1.334630314477221,1.6166897809872158,,42.336942200025405,21.032609094069176,30.193807043056392,34.52934353567239,23.9984877745721,17.991677611213056,13.695593358482256,0.0,2000.0,0.0004411116012351,1.0,0.0,5000,DistilBART,5,0.1,2811.8405004551732
5,1.2489265094958797,1.6166847509189406,1.8312035840864365,42.34566405889529,21.127850159511997,30.131900622585,34.52906928570469,23.99973934805534,17.99286659043356,13.696468851948516,0.0,2000.0,0.0004411116012351,1.0,0.0,5000,DistilBART,5,0.1,2811.8405004551732
1,2.23147741254223,1.6398515195394745,,42.89914933399949,20.41969947071281,30.00205932694892,33.07109275931272,22.311405780359514,16.82800074909486,12.9732479024189,0.0,2000.0,0.0006253908692933,0.0043668122270742,0.0,5000,DistilBART,5,0.5,2228.7122963720553
2,1.589686019052016,1.6369166486767976,,42.76914126322384,20.321182202939788,29.91886896712478,32.99480028691497,22.25786679734431,16.78515540783109,12.942187811006676,0.0,2000.0,0.0006253908692933,0.0043668122270742,0.0,5000,DistilBART,5,0.5,2228.7122963720553
3,1.4973038556248064,1.5702434953878446,,43.2821112724622,20.896081900898544,30.386083092968757,33.45690210189495,22.816527744318304,17.34749439248635,13.455668143306138,0.0,2000.0,0.0006253908692933,0.0043668122270742,0.0,5000,DistilBART,5,0.5,2228.7122963720553
4,1.457098576869115,1.569982890595168,,43.24821520764713,20.843090257115197,30.351969798351597,33.45836017921205,22.804909072099115,17.328561941454733,13.43339609183523,0.0,2000.0,0.0006253908692933,0.0043668122270742,0.0,5000,DistilBART,5,0.5,2228.7122963720553
5,1.5719954595476593,1.569985788018546,1.6198104023049076,43.254728075531226,20.858906696921075,30.35985124853141,33.463375129115875,22.80696384007808,17.33032700664666,13.434749747988755,0.0,2000.0,0.0006253908692933,0.0043668122270742,0.0,5000,DistilBART,5,0.5,2228.7122963720553
1,1.7697930421148027,1.6309150614320458,,43.10244821987841,20.445214029108296,30.092648351725305,32.63486924371206,22.015091729636417,16.610083042970196,12.804070932061189,0.0,2500.0,0.0004418912947414,0.0030864197530864,0.0,5000,DistilBART,4,0.5,3573.7744752572175
2,1.3167791253059384,1.5978965666504874,,42.78183767733703,20.335843805753207,29.92328853826784,32.871867731904466,22.240140188111457,16.861668473767782,13.060117962537982,0.0,2500.0,0.0004418912947414,0.0030864197530864,0.0,5000,DistilBART,4,0.5,3573.7744752572175
3,1.2720372321713675,1.5979054516978854,,42.75025588716332,20.33446219553746,29.917658151475777,32.87413979247047,22.242957191453108,16.865034681046787,13.06407248843987,0.0,2500.0,0.0004418912947414,0.0030864197530864,0.0,5000,DistilBART,4,0.5,3573.7744752572175
4,1.4201600198640754,1.5975083983730602,,42.78598126571062,20.33073953706731,29.955041379718416,32.889498350470284,22.241674690087173,16.846865993971313,13.035374519013809,0.0,2500.0,0.0004418912947414,0.0030864197530864,0.0,5000,DistilBART,4,0.5,3573.7744752572175
5,1.4534354601142447,1.5974410079692911,1.634139237240121,42.75820280685157,20.336865862179515,29.95438306836733,32.865726311122984,22.22259664360054,16.83121436074056,13.022655497426667,0.0,2500.0,0.0004418912947414,0.0030864197530864,0.0,5000,DistilBART,4,0.5,3573.7744752572175
1,2.3863913308490403,1.7473400225631508,,42.88114587529659,20.13263089439709,28.46711787509283,29.326064305889247,19.54746843284527,14.905049830717974,11.688993788213857,0.0,2500.0,0.0002835270768358,1.0,0.0,5000,DistilBART,4,0.1,4944.147449257556
2,1.3082983084023,1.5376211409200642,,43.134870506744576,18.73387646400376,28.603853848085357,30.32382173173045,20.17475372139969,14.993544245970634,11.558919530632046,0.0,2500.0,0.0002835270768358,1.0,0.0,5000,DistilBART,4,0.1,4944.147449257556
3,1.0150107876820995,1.5605752807051798,,42.97848545008848,18.47188797470021,28.059455363121256,30.170751352997836,19.98139515403548,14.779107206420052,11.33434173753192,0.0,2500.0,0.0002835270768358,1.0,0.0,5000,DistilBART,4,0.1,4944.147449257556
4,1.231645416129719,1.5736910320529696,,43.05947030362573,18.626895566371203,28.454981418056587,30.236547902286134,20.070395339298244,14.875146957861393,11.444459431773392,0.0,2500.0,0.0002835270768358,1.0,0.0,5000,DistilBART,4,0.1,4944.147449257556
5,1.5113201469903992,1.5736911156830744,1.7732664332678023,43.08318170053884,18.6161476817352,28.4021814106886,30.236101113352863,20.07014715277367,14.875024404470556,11.444387930322176,0.0,2500.0,0.0002835270768358,1.0,0.0,5000,DistilBART,4,0.1,4944.147449257556
1,1.7412002125263215,1.6364341209035254,,42.526841128679024,20.13196694286352,29.78133993193955,32.337068486612225,21.801196117707114,16.436853722206273,12.652061325271156,0.0,5000.0,0.0003143665513989,0.0005497526113249,0.0,5000,BART-large,2,0.1,7069.653598303102
2,1.1466347894668578,1.6364351277388478,1.6840474422161396,42.52758469490334,20.13771795163528,29.78349009904703,32.33901318212607,21.80158269329369,16.43711127675902,12.652515198165744,0.0,5000.0,0.0003143665513989,0.0005497526113249,0.0,5000,BART-large,2,0.1,7069.653598303102
1,2.1601842464305,1.641136041213108,,42.36650555550876,20.091925451293104,29.642920560453405,32.89267134255107,22.22087236703934,16.821166068040043,13.022292537690896,0.0,5000.0,0.0003437607425232,0.0004782400765184,0.0,5000,BART-large,2,0.5,7059.75410336649
2,1.4802334773435508,1.6411471227133156,1.7077259063720702,42.38432235639287,20.07449469768592,29.651485779500117,32.89267472592356,22.218627127479323,16.819068549411632,13.020446213315063,0.0,5000.0,0.0003437607425232,0.0004782400765184,0.0,5000,BART-large,2,0.5,7059.75410336649
1,2.2290039516286173,1.5523307031827376,,43.41517191800819,21.12537945302235,30.662348347225016,34.09601061416824,23.14734928307819,17.576514603233537,13.642968588194485,0.0,3333.3333333333335,0.0003456619426201,0.0384615384615384,0.0,5000,BART-large,3,0.5,5672.402518627652
2,1.544906081515526,1.5512830881736397,1.59536948689708,43.42894174554653,21.12175617987335,30.657242705736945,34.12898193769531,23.16518678114061,17.591171980663265,13.654875888352633,0.0,3333.3333333333335,0.0003456619426201,0.0384615384615384,0.0,5000,BART-large,3,0.5,5672.402518627652
1,2.146900542712212,1.4153489791582212,,42.19807148842676,21.972737056396834,31.647797846847663,31.35212985057421,22.158899540958,17.62799816787994,14.41701548513875,0.0,3333.3333333333335,0.000314465408805,1.0,0.0,5000,BART-large,3,0.1,5771.7706410886885
2,1.113139053750038,1.4153516294332362,1.4682265581228793,42.20421430410253,21.97671032781485,31.65937651405022,31.353879456990573,22.162417488142516,17.631555787296488,14.419831505168046,0.0,3333.3333333333335,0.000314465408805,1.0,0.0,5000,BART-large,3,0.1,5771.7706410886885
1,1.9036015779378423,1.6617992674605175,,39.19543737991496,18.732167745806077,27.92056070904404,31.80315296230274,21.613248251444425,15.667990176849386,11.832105265028051,0.0,2000.0,0.0004411116012351,1.0,0.0,5000,BART-large,5,0.1,2811.8405004551732
2,1.3877756657127387,1.61097085776479,1.6472922381900603,44.56765958727468,23.28077908641975,30.050498954603263,35.54415063833535,25.004331257000597,18.763500679675,13.55642836314247,0.0,2000.0,0.0004411116012351,1.0,0.0,5000,BART-large,5,0.1,2811.8405004551732
1,1.5623708348754612,1.6339687255468764,,42.92544335340013,20.51946966560826,30.063725425359344,33.08210001933174,22.402219112348625,16.95651981010864,13.094843314872136,0.0,2000.0,0.0006253908692933,0.0043668122270742,0.0,5000,BART-large,5,0.5,2228.7122963720553
2,1.6255577767446097,1.592105135339311,1.6752029021581012,43.05316520538798,20.609713559253144,30.188291169605048,33.13114269735913,22.496004921945275,17.064747232828957,13.213856963193043,0.0,2000.0,0.0006253908692933,0.0043668122270742,0.0,5000,BART-large,5,0.5,2228.7122963720553
1,1.7574678350272763,1.5645232268349587,,41.87843871982851,19.112812161733636,28.2899112563541,28.437529819155,18.902387155603613,14.149854139330008,10.916627016160948,0.0,2500.0,0.0002835270768358,1.0,0.0,5000,BART-large,4,0.1,4944.147449257556
2,1.5161985819749644,1.5643056865131668,1.6506953239440918,41.932768583062106,19.136569886216197,28.3490135000654,28.45412001904197,18.91582305803109,14.159314162512928,10.924365219500938,0.0,2500.0,0.0002835270768358,1.0,0.0,5000,BART-large,4,0.1,4944.147449257556
1,1.5330925314582178,1.614016091319603,,43.273388356464295,20.69586123713466,30.33925345586696,32.95565568749488,22.342973617970426,16.884536269039252,13.029698152397533,0.0,2500.0,0.0004418912947414,0.0030864197530864,0.0,5000,BART-large,4,0.5,3573.7744752572175
2,1.4969531283981738,1.6140161041348595,2.010904456887926,43.27633837041337,20.69497243426108,30.32635049420509,32.95565568749488,22.342973617970426,16.884536269039252,13.029698152397533,0.0,2500.0,0.0004418912947414,0.0030864197530864,0.0,5000,BART-large,4,0.5,3573.7744752572175
