model,alpha,round,train_loss,val_loss,test_loss,rouge1,rouge2,rougeL,bleu1,bleu2,bleu3,bleu4,gini_coefficient,mean_contribution,min_contribution,max_contribution,cv_contribution,num_samples,num_clients,std_contribution
BART-large,0.1,1,1.887292542050913,1.5695263985893058,,41.449697179212315,19.987420976700015,29.409902436046337,30.982470279661044,21.118932766428287,15.970674051566402,12.454452272899726,0.0,3208.3333333333335,0.0003383676595687,0.7501374381528312,0.0,5000.0,3.5,5149.35304727613
BART-large,0.1,2,1.2909370227261499,1.5567658253625103,1.6125653906182928,42.80805679233566,21.132944313021518,29.960594766941476,31.92279082412349,21.97103862411697,16.74787047656086,12.8882850714943,0.0,3208.3333333333335,0.0003383676595687,0.7501374381528312,0.0,5000.0,3.5,5149.35304727613
BART-large,0.5,1,1.8711628910981992,1.6103628903155813,,42.99512729584534,20.608158951764594,30.177061947226182,33.25660941588649,22.528353595109145,17.05968418760537,13.197450648288763,0.0,3208.3333333333335,0.0004391762122945,0.011598252629554351,0.0,5000.0,3.5,4633.660848405854
BART-large,0.5,2,1.5369126160004651,1.5996378625902814,1.7473006880787945,43.03569191943519,20.625234217768373,30.205842537261802,33.27711376211822,22.555698112133907,17.089881007985777,13.229719304314568,0.0,3208.3333333333335,0.0004391762122945,0.011598252629554351,0.0,5000.0,3.5,4633.660848405854
DistilBART,0.1,1,2.0422995907333763,1.695203373188226,,42.3330057634009,20.55070301603239,29.959252398673687,31.93402092377811,21.701127095741384,16.468677190424415,12.894034533032766,0.0,3208.3333333333335,0.0003383676595687,0.7501374381528312,0.0,5000.0,3.5,5149.35304727613
DistilBART,0.1,2,1.2397547317698598,1.6256166346176821,,43.77517922113161,22.205957001682176,31.616537881308012,33.19201350597808,23.30150883287101,18.143790822290413,14.569861343139838,0.0,3208.3333333333335,0.0003383676595687,0.7501374381528312,0.0,5000.0,3.5,5149.35304727613
DistilBART,0.1,3,1.1941385235774915,1.5700101974712075,,44.1792403365724,22.54658053726326,31.671490714346433,33.51594825265955,23.639207000709163,18.4730048649176,14.8293802597691,0.0,3208.3333333333335,0.0003383676595687,0.7501374381528312,0.0,5000.0,3.5,5149.35304727613
DistilBART,0.1,4,1.1485576278917558,1.5732946094512297,,44.1961636593486,22.57301124636375,31.78642305932987,33.53232742456867,23.66108867063352,18.496799810554542,14.856765541250116,0.0,3208.3333333333335,0.0003383676595687,0.7501374381528312,0.0,5000.0,3.5,5149.35304727613
DistilBART,0.1,5,1.211553508030595,1.573293853382022,1.613641026995683,44.20224938157369,22.59422090829058,31.756278473443444,33.53162050028399,23.660682013506005,18.496606094404132,14.85667366862311,0.0,3208.3333333333335,0.0003383676595687,0.7501374381528312,0.0,5000.0,3.5,5149.35304727613
DistilBART,0.5,1,2.0976151287062277,1.6160584376052414,,42.94170318302287,20.50331403479567,30.10180266504446,33.17304470800987,22.422256896120977,16.957369888345667,13.10913055646672,0.0,3208.3333333333335,0.0004391762122945,0.011598252629554351,0.0,5000.0,3.5,4633.660848405854
DistilBART,0.5,2,1.5046597049190358,1.6066738473306468,,42.7304289061421,20.395077103963366,30.08321284136756,33.0935163887809,22.37755127895408,16.905780037993388,13.048286059414329,0.0,3208.3333333333335,0.0004391762122945,0.011598252629554351,0.0,5000.0,3.5,4633.660848405854
DistilBART,0.5,3,1.453407867974923,1.5900094125693496,,42.85003040851424,20.539009928239434,30.189853781370964,33.2091817600288,22.517424279126786,17.04706245915179,13.177765737422256,0.0,3208.3333333333335,0.0004391762122945,0.011598252629554351,0.0,5000.0,3.5,4633.660848405854
DistilBART,0.5,4,1.4054845122574011,1.5898179572262419,,42.83333736688834,20.474560656422753,30.14927016031263,33.181174847851366,22.475203745763306,16.9932510829468,13.117084553537087,0.0,3208.3333333333335,0.0004391762122945,0.011598252629554351,0.0,5000.0,3.5,4633.660848405854
DistilBART,0.5,5,1.4490222984311334,1.5897954943520505,1.6348820401140096,42.84506593319492,20.49180413493679,30.155421715021987,33.1768195363213,22.470962350127397,16.989991788715955,13.11454967992629,0.0,3208.3333333333335,0.0004391762122945,0.011598252629554351,0.0,5000.0,3.5,4633.660848405854
