model,hub_id,epoch,rouge1,rouge2,rougeL,rougeLsum,bleu,meteor,chrf,bertscore_precision,bertscore_recall,bertscore_f1,loss,perplexity,model_type
BART,facebook/bart-large-cnn,1,0.4152884378384541,0.1952545324619113,0.2869859728751306,0.3879050942830354,14.47326600738882,0.3973793586439746,43.90177218833288,0.8814432409286499,0.8936755023241043,0.8873806577444077,1.5201925039291382,4.573105451180783,BART-large
DistilBART,sshleifer/distilbart-cnn-12-6,1,0.4088876238817189,0.1895019808276801,0.2841762553159583,0.3840879518892178,14.578879163786176,0.3821976436124371,42.711119151271774,0.8830535307526588,0.8915269327163696,0.8871345353126526,1.6508443355560305,5.211378121944501,DistilBART
BART,facebook/bart-large-cnn,1,0.4152884378384541,0.1952545324619113,0.2869859728751306,0.3879050942830354,14.47326600738882,0.3973793586439746,43.90177218833288,0.8814432409286499,0.8936755023241043,0.8873806577444077,1.5201925039291382,4.573105451180783,BART-large
DistilBART,sshleifer/distilbart-cnn-12-6,1,0.4088876238817189,0.1895019808276801,0.2841762553159583,0.3840879518892178,14.578879163786176,0.3821976436124371,42.711119151271774,0.8830535307526588,0.8915269327163696,0.8871345353126526,1.6508443355560305,5.211378121944501,DistilBART
