Model,rouge1,rouge2,rougeL,bleu,meteor
BART-large,0.4152884378384541,0.1952545324619113,0.2869859728751306,14.47326600738882,0.3973793586439746
DistilBART,0.4088876238817189,0.1895019808276801,0.2841762553159583,14.578879163786176,0.3821976436124371
BART-large,0.4152884378384541,0.1952545324619113,0.2869859728751306,14.47326600738882,0.3973793586439746
DistilBART,0.4088876238817189,0.1895019808276801,0.2841762553159583,14.578879163786176,0.3821976436124371
