model,training,alpha,rouge1,rouge2,rougeL
BART-large,Centralized,,0.4152884378384541,0.1952545324619113,0.2869859728751306
DistilBART,Centralized,,0.4088876238817189,0.1895019808276801,0.2841762553159583
BART-large,Centralized,,0.4152884378384541,0.1952545324619113,0.2869859728751306
DistilBART,Centralized,,0.4088876238817189,0.1895019808276801,0.2841762553159583
