class,precision,recall,f1,support,roc_auc,pr_auc
0,0.0,0.0,0.0,160,0.8519806094182826,0.20269677807403017
1,0.0,0.0,0.0,195,0.8371898870360409,0.22347332194990588
2,0.10901287553648069,0.6446700507614214,0.18649045521292218,197,0.8946782197558965,0.31976872222032854
3,0.0,0.0,0.0,196,0.7345589746810867,0.12732757155028915
4,0.0,0.0,0.0,193,0.869455256018228,0.3342735142256115
5,0.305,0.9242424242424242,0.45864661654135336,198,0.9658023403124187,0.7618105394595693
6,0.0,0.0,0.0,195,0.7709779451317913,0.22260862646188528
7,0.6666666666666666,0.48484848484848486,0.5614035087719298,198,0.9435360039363399,0.6285406150138088
8,0.0,0.0,0.0,199,0.9147973133660461,0.31723125109664674
9,0.76,0.7638190954773869,0.7619047619047619,199,0.9880795745740745,0.9210622384569779
10,0.7510917030567685,0.86,0.8018648018648019,200,0.9681022408963585,0.8721163299610207
11,0.5,0.005050505050505051,0.01,198,0.7580720418066442,0.19877414227078558
12,0.5,0.06598984771573604,0.11659192825112108,197,0.8494077834179358,0.41607210417822893
13,0.9402985074626866,0.6363636363636364,0.7590361445783133,198,0.9658871752236813,0.844947643412846
14,0.5374592833876222,0.8375634517766497,0.6547619047619048,197,0.9503126238668185,0.8246335654977475
15,0.4132029339853301,0.8492462311557789,0.555921052631579,199,0.9525096780457876,0.5921543403158924
16,0.4787234042553192,0.7417582417582418,0.5818965517241379,182,0.9412464625675327,0.5700721944053401
17,0.8141025641025641,0.675531914893617,0.7383720930232558,188,0.965481960630576,0.8072459209940279
18,0.5425531914893617,0.32903225806451614,0.40963855421686746,155,0.9178744478650783,0.30854176030590136
19,0.0,0.0,0.0,126,0.8575588486400779,0.16485083878433654
