class,precision,recall,f1,support,roc_auc,pr_auc
0,0.6794871794871795,0.33125,0.44537815126050423,160,0.9491395429362882,0.5561816958907139
1,0.7262569832402235,0.6666666666666666,0.6951871657754011,195,0.950252824098978,0.7181621995809122
2,0.43977591036414565,0.7969543147208121,0.5667870036101083,197,0.9615986224944274,0.730650314154545
3,0.7087378640776699,0.37244897959183676,0.4882943143812709,196,0.9418247433276612,0.5877336674663459
4,0.5897435897435898,0.5958549222797928,0.5927835051546392,193,0.9588809333088052,0.6932709532518103
5,0.7649572649572649,0.9040404040404041,0.8287037037037037,198,0.988492851244811,0.9000366166374261
6,0.9142857142857143,0.6564102564102564,0.764179104477612,195,0.9780182894029048,0.8743209472569816
7,0.8275862068965517,0.7272727272727273,0.7741935483870968,198,0.9799909792211023,0.8368008720828449
8,0.8342857142857143,0.7336683417085427,0.7807486631016043,199,0.9836750259277344,0.882927650437777
9,0.93048128342246,0.8743718592964824,0.9015544041450777,199,0.9882364778245751,0.9369761476313567
10,0.8701923076923077,0.905,0.8872549019607843,200,0.9876778711484594,0.9370879762325794
11,0.8520710059171598,0.7272727272727273,0.784741144414169,198,0.9670105308403181,0.8339928446860095
12,0.6486486486486487,0.7309644670050761,0.6873508353221957,197,0.9616412433351661,0.7609454924580802
13,0.885,0.8939393939393939,0.8894472361809045,198,0.9849608911059078,0.9356090853320314
14,0.7370689655172413,0.868020304568528,0.7972027972027972,197,0.9904898697365037,0.9124801121980558
15,0.6463414634146342,0.7989949748743719,0.7146067415730337,199,0.9775719820046747,0.7929389751337529
16,0.6291079812206573,0.7362637362637363,0.6784810126582278,182,0.9719914979112303,0.765249567740101
17,0.7312775330396476,0.8829787234042553,0.8,188,0.9906061038050774,0.9165847183201984
18,0.6197183098591549,0.567741935483871,0.5925925925925926,155,0.9612153660821844,0.6543255056906361
19,0.38202247191011235,0.2698412698412698,0.31627906976744186,126,0.9313766487202273,0.3276014673938185
