client_id,train_samples,val_samples,test_samples,contribution,percentage,num_clients
0,4040,229,85,4040,0.404,5
1,3,522,643,3,0.0003,5
2,45,1182,674,45,0.0045,5
3,1214,1599,392,1214,0.1214,5
4,4698,1468,3206,4698,0.4698,5
