,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,76,2,0,0,1,2,0,1,2,0,0,3,4,4,0,15,8,4,10,28
true_1,0,154,2,6,4,15,1,0,0,1,0,1,7,0,2,1,0,0,1,0
true_2,0,10,121,20,12,13,1,0,1,0,2,2,13,0,2,0,0,0,0,0
true_3,0,9,10,141,17,0,4,0,2,1,0,1,10,1,0,0,0,0,0,0
true_4,0,8,1,18,144,2,3,0,0,0,0,1,15,0,0,0,0,0,1,0
true_5,0,14,2,1,5,173,0,0,0,0,0,0,1,0,0,0,1,0,0,1
true_6,0,0,1,3,7,0,165,5,3,0,0,0,5,1,1,0,4,0,0,0
true_7,0,2,0,2,6,1,5,141,15,1,0,0,16,0,0,1,4,0,4,0
true_8,1,1,0,0,2,1,2,13,160,0,2,1,9,1,0,0,4,0,2,0
true_9,1,1,0,0,0,0,0,0,2,174,5,1,9,0,0,0,3,1,2,0
true_10,0,1,0,0,1,1,0,0,2,9,174,0,7,0,0,1,3,0,0,1
true_11,3,2,1,1,1,4,1,0,2,0,0,153,8,3,2,0,8,0,7,2
true_12,0,8,1,7,5,1,7,3,1,0,0,3,152,5,1,0,3,0,0,0
true_13,0,1,0,0,3,1,2,0,0,0,0,0,5,181,2,0,0,0,3,0
true_14,1,6,0,0,5,2,1,0,2,0,1,2,14,7,145,0,3,0,6,2
true_15,7,2,0,0,2,0,0,1,0,0,0,0,6,3,0,155,1,1,5,16
true_16,2,1,1,0,0,0,0,1,2,0,1,5,1,0,1,0,147,0,16,4
true_17,8,0,0,1,0,1,0,1,1,0,0,2,3,0,0,1,7,144,12,7
true_18,4,0,0,0,1,1,2,0,2,2,1,1,3,4,0,0,24,1,108,1
true_19,22,1,0,0,1,0,1,0,2,2,0,2,3,1,2,40,16,0,5,28
