,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,69,2,0,0,0,0,0,4,3,1,1,1,1,1,4,14,2,5,5,47
true_1,0,155,4,6,1,13,0,3,0,1,0,0,6,0,3,1,0,1,1,0
true_2,0,11,121,27,8,9,2,7,1,0,2,0,6,0,3,0,0,0,0,0
true_3,0,6,11,147,13,0,6,1,3,0,0,1,4,1,1,2,0,0,0,0
true_4,0,7,2,20,142,3,3,11,1,0,0,0,3,0,0,0,0,0,1,0
true_5,0,11,2,2,4,174,2,1,0,0,1,0,0,0,0,0,0,0,0,1
true_6,0,0,2,4,4,0,161,10,6,0,0,0,5,0,2,0,1,0,0,0
true_7,2,2,0,3,1,1,6,152,16,1,0,0,8,1,0,1,2,0,2,0
true_8,1,0,2,1,0,0,3,18,163,0,1,1,2,1,0,0,2,1,1,2
true_9,1,1,0,0,0,0,0,9,1,176,6,1,0,0,0,1,2,0,1,0
true_10,0,0,1,0,0,0,0,7,3,11,174,0,0,0,0,1,1,0,1,1
true_11,3,3,3,1,1,3,1,2,2,0,0,151,5,3,3,1,7,2,5,2
true_12,1,10,1,13,4,0,8,4,1,0,0,3,144,5,1,0,2,0,0,0
true_13,1,1,0,0,1,1,0,3,3,0,0,0,1,181,1,2,0,0,2,1
true_14,0,6,0,0,3,1,0,10,2,1,1,1,6,4,157,0,2,0,3,0
true_15,5,0,1,0,0,0,0,7,2,0,0,0,0,2,1,159,0,0,3,19
true_16,1,1,0,0,0,0,0,3,3,1,0,7,0,0,1,1,140,0,14,10
true_17,8,0,0,0,0,0,0,3,0,0,0,1,0,1,1,4,2,149,9,10
true_18,7,1,0,0,0,0,1,4,2,2,1,3,0,3,2,1,21,4,101,2
true_19,10,1,0,0,0,0,2,2,2,2,0,2,0,1,1,33,12,1,3,54
