,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,6,2,3,0,0,0,0,3,2,1,1,2,0,2,3,47,4,14,9,61
true_1,0,133,21,6,3,15,0,3,2,0,0,2,4,1,2,1,0,1,1,0
true_2,0,8,147,10,10,10,0,6,0,1,1,0,2,0,2,0,0,0,0,0
true_3,0,5,39,132,6,0,4,4,1,0,0,3,0,1,0,1,0,0,0,0
true_4,0,8,18,27,118,1,3,12,0,0,0,3,1,0,1,0,0,0,1,0
true_5,0,9,12,0,2,168,0,2,0,0,0,1,1,0,1,1,0,0,0,1
true_6,0,0,4,6,3,0,152,17,3,0,0,0,1,2,4,1,0,2,0,0
true_7,0,0,1,3,2,0,2,166,12,0,0,0,2,1,1,1,3,0,3,1
true_8,0,0,1,0,1,0,1,23,159,0,2,1,0,0,4,1,2,2,1,1
true_9,0,0,0,0,0,1,0,9,1,170,8,2,1,0,0,1,2,2,0,2
true_10,0,0,1,0,0,0,0,8,0,2,183,0,0,0,1,1,2,2,0,0
true_11,2,1,3,3,0,3,0,3,0,0,0,159,3,2,2,2,5,3,4,3
true_12,0,11,11,12,8,1,7,11,0,0,1,16,106,6,4,0,1,0,1,1
true_13,0,1,1,0,0,1,0,5,1,0,0,0,4,175,3,3,0,1,2,1
true_14,0,2,1,1,1,0,0,8,1,0,1,1,4,2,167,0,0,2,4,2
true_15,0,0,2,0,0,0,0,9,1,0,0,0,0,2,2,161,0,1,3,18
true_16,0,0,1,0,0,1,0,2,1,1,0,11,0,0,1,0,121,2,24,17
true_17,0,0,0,0,0,0,0,3,1,0,0,1,0,1,1,1,2,167,7,4
true_18,0,0,2,0,0,0,1,4,1,1,0,3,0,3,2,0,13,8,110,7
true_19,0,0,1,0,0,0,0,3,1,0,1,2,1,1,5,47,10,2,6,46
