,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,0,1,4,0,0,0,0,0,2,0,0,13,0,8,8,106,1,11,5,1
true_1,0,84,82,5,2,1,1,1,2,0,0,3,0,5,6,3,0,0,0,0
true_2,0,11,145,12,10,1,0,1,1,0,0,10,0,1,2,3,0,0,0,0
true_3,0,19,69,67,26,0,3,1,0,0,0,10,0,0,1,0,0,0,0,0
true_4,0,11,71,50,39,0,2,1,0,0,1,18,0,0,0,0,0,0,0,0
true_5,0,11,174,0,0,5,1,0,0,0,0,5,0,1,1,0,0,0,0,0
true_6,0,2,18,8,2,0,116,16,2,0,0,12,0,0,13,4,0,0,1,1
true_7,0,1,7,0,0,0,2,152,8,0,0,13,0,1,9,3,1,0,1,0
true_8,0,0,4,0,1,0,3,70,93,0,0,11,0,5,10,1,0,0,1,0
true_9,0,0,5,0,1,2,0,1,3,21,127,14,0,13,7,2,0,3,0,0
true_10,0,0,1,0,0,1,1,0,3,0,138,16,0,26,6,4,0,0,3,1
true_11,0,7,13,1,1,0,0,0,0,0,0,154,1,6,7,4,1,0,3,0
true_12,0,40,23,22,14,0,7,6,5,0,0,27,23,10,17,3,0,0,0,0
true_13,0,3,2,0,0,0,0,0,0,0,0,6,0,172,6,9,0,0,0,0
true_14,0,4,3,1,0,0,0,0,3,0,0,12,1,9,161,3,0,0,0,0
true_15,0,0,1,0,0,0,1,1,0,0,0,10,0,5,3,175,0,0,3,0
true_16,0,0,1,0,0,1,0,1,37,0,0,58,0,7,25,15,6,1,30,0
true_17,0,0,5,0,0,0,0,0,3,0,0,14,0,6,3,14,0,134,9,0
true_18,0,0,2,0,0,0,1,2,4,0,0,30,0,21,26,29,3,6,31,0
true_19,0,1,1,0,0,0,0,0,1,0,0,16,0,4,6,92,1,1,3,0
