round,client_id,epoch,phase,loss,accuracy,precision,recall,f1
1,7,1,train,1.2136194020071451,0.6408839779005525,0.8260549016333624,0.861878453038674,0.835585018205655
1,1,1,train,1.040388527374292,0.6847545219638242,0.8115888466986354,0.8255813953488372,0.8069055299958112
1,8,1,train,1.0460792671082206,0.663972286374134,0.8373601108247887,0.8406466512702079,0.8320969394070871
1,6,1,train,1.406549902929593,0.4282073067119796,0.1196609372558461,0.23279524214103653,0.09129546604303503
1,0,1,train,0.9965809793094126,0.6807610993657506,0.8534367237452912,0.8752642706131079,0.8595531864557646
1,4,1,train,1.2220847034454345,0.6345177664974619,0.8563087128156875,0.8553299492385786,0.8401758107249058
1,3,1,train,0.9587758258663812,0.7097591888466414,0.8062302881730735,0.8250950570342205,0.81073547692444
1,5,1,train,0.7517595936279029,0.7468879668049793,0.8959716783564886,0.8979253112033195,0.8908916063035929
1,2,1,train,0.8285034703621209,0.7567455375674553,0.8771989543371406,0.8762972187629722,0.870542916396856
1,-1,1,validation,0.2660572485993332,0.45517241379310347,0.5062278615828888,0.45517241379310347,0.400486762862637
2,7,1,train,0.530117327840451,0.8416206261510129,0.9080536565819985,0.9023941068139963,0.8951703505340078
2,8,1,train,0.7168769600891298,0.7788683602771362,0.8845024857177168,0.8804849884526559,0.876992307300751
2,2,1,train,0.5888502973545071,0.8152760481527604,0.8765785899973749,0.8646741386467414,0.8615927545346822
2,0,1,train,0.4908976006877272,0.854122621564482,0.9056416677062911,0.9101479915433404,0.9037141310116503
2,4,1,train,0.5897389875724912,0.8274111675126904,0.8690071403631955,0.8375634517766497,0.7990639022625168
2,1,1,train,0.7355658269880974,0.7655038759689923,0.8426142792462366,0.8081395348837209,0.7921078408219238
2,6,1,train,0.41987141679214723,0.8695836873406967,0.9148012037463723,0.9078164825828378,0.9054701979625017
2,5,1,train,0.45486787155221237,0.8589211618257261,0.8680541633458276,0.9020746887966805,0.8827616598026764
2,3,1,train,0.6743534978305702,0.7984790874524715,0.8606750043452774,0.8583016476552598,0.8499078149519209
2,-1,1,validation,0.1592067357340447,0.6015915119363395,0.6216014449863504,0.6015915119363395,0.5667876926096173
3,6,1,train,0.3674153766421191,0.8853016142735769,0.9140558400977189,0.9124893797790994,0.9114495209027732
3,4,1,train,0.34670814607292416,0.9111675126903553,0.9684573645859496,0.9644670050761421,0.965803044286377
3,8,1,train,0.6117757264404527,0.8117782909930716,0.884048964460501,0.8787528868360277,0.875225343450147
3,1,1,train,0.6198868735395756,0.8062015503875969,0.8963506474621257,0.8940568475452196,0.8898781626560434
3,2,1,train,0.526964993265439,0.8314653383146534,0.9056619499060556,0.9032793690327937,0.8993958472017434
3,5,1,train,0.38194444723772686,0.8688796680497926,0.908350693966009,0.8838174273858921,0.8866489184968299
3,7,1,train,0.4412590259247843,0.860036832412523,0.9296943966641817,0.9134438305709024,0.9125612509280799
3,0,1,train,0.42077631428211676,0.8699788583509513,0.9206742695052207,0.9133192389006343,0.9117939923204019
3,3,1,train,0.5983808523662358,0.8210392902408111,0.8473253542768786,0.864638783269962,0.8516881153842145
3,-1,1,validation,0.14303928053535184,0.6421750663129974,0.641307048307033,0.6421750663129974,0.6138649477103105
4,3,1,train,0.5168626617097299,0.838022813688213,0.8779706733680445,0.8778200253485424,0.868012985232115
4,8,1,train,0.5821433913494859,0.8071593533487298,0.8634779445258718,0.859122401847575,0.8508869192615055
4,7,1,train,0.401307832887944,0.8637200736648251,0.9332247066200136,0.9244935543278084,0.9190061160024837
4,4,1,train,0.31817756125703456,0.9086294416243654,0.9725158453886816,0.9746192893401016,0.9731044631104813
4,6,1,train,0.3562572833734675,0.8865760407816483,0.9314059589136958,0.923534409515718,0.9239458393520334
4,2,1,train,0.4600526544431977,0.8484848484848485,0.9096196763222629,0.9016189290161893,0.9008358921947932
4,0,1,train,0.3952399370330973,0.8752642706131079,0.9365697046887798,0.9429175475687104,0.9386389530228323
