,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,2,2,3,0,0,0,0,0,4,1,1,7,0,3,3,55,4,13,9,53
true_1,0,131,23,6,4,17,0,1,2,0,0,2,4,0,3,1,0,0,1,0
true_2,0,6,148,13,11,6,2,1,0,1,1,5,2,0,1,0,0,0,0,0
true_3,0,3,45,123,14,1,6,0,1,0,0,1,0,1,0,1,0,0,0,0
true_4,0,6,14,29,121,2,5,2,0,0,0,10,2,0,0,0,0,1,1,0
true_5,0,9,15,1,2,164,0,1,0,0,0,2,1,0,1,1,0,0,0,1
true_6,0,0,6,5,3,0,160,7,4,0,0,2,3,1,4,0,0,0,0,0
true_7,0,0,5,3,1,0,4,154,11,0,0,9,2,1,1,1,3,0,2,1
true_8,0,1,1,0,0,0,3,16,159,0,1,8,0,1,2,0,2,2,2,1
true_9,0,0,1,0,0,0,0,0,1,171,8,11,1,0,0,1,0,3,0,2
true_10,0,0,2,0,0,0,0,0,2,6,177,7,0,0,3,1,1,0,1,0
true_11,0,2,4,3,1,3,1,0,1,0,0,153,4,3,4,1,6,4,4,4
true_12,0,11,11,16,10,1,8,9,4,0,0,10,107,5,4,1,0,0,0,0
true_13,0,1,3,0,0,1,2,0,1,0,0,3,4,176,3,1,0,1,1,1
true_14,0,2,2,1,1,1,1,1,1,0,0,8,6,4,165,0,0,1,2,1
true_15,0,0,4,0,0,0,0,1,1,0,0,6,0,3,2,167,0,2,1,12
true_16,0,0,3,0,0,1,0,0,3,1,0,11,0,1,3,0,123,2,17,17
true_17,0,0,2,0,0,0,0,0,1,0,0,4,0,1,2,1,2,164,8,3
true_18,0,0,4,0,0,0,1,0,0,1,1,7,0,5,4,2,14,9,100,7
true_19,0,0,2,0,0,0,0,1,1,0,1,4,1,3,4,58,13,1,5,32
