,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,24,2,3,0,0,0,0,3,0,1,1,1,0,3,2,44,9,16,8,43
true_1,0,134,20,8,1,15,1,2,1,0,0,1,6,1,2,1,0,1,1,0
true_2,0,8,145,15,8,7,0,6,0,1,1,1,3,0,2,0,0,0,0,0
true_3,0,5,38,130,9,1,5,2,1,0,0,2,0,1,0,1,0,0,1,0
true_4,0,6,18,26,118,2,5,11,0,0,0,4,1,0,0,0,0,0,2,0
true_5,0,12,13,0,2,164,0,1,0,1,0,1,1,0,1,1,0,0,0,1
true_6,0,1,3,3,2,0,165,9,1,0,0,0,3,1,4,0,0,0,3,0
true_7,1,0,1,2,2,0,5,162,9,1,1,0,3,1,1,1,3,1,4,0
true_8,0,0,1,0,1,0,5,26,153,0,2,1,0,0,1,1,3,2,2,1
true_9,1,0,0,0,0,1,0,9,0,171,8,2,1,0,0,1,1,3,0,1
true_10,0,0,1,0,0,0,0,7,0,5,180,0,1,0,1,1,2,1,1,0
true_11,1,1,3,2,1,3,1,2,1,0,1,159,3,3,2,3,5,3,4,0
true_12,0,10,9,14,9,2,7,9,0,1,1,14,111,6,3,0,1,0,0,0
true_13,1,1,1,0,0,1,0,4,1,0,0,0,3,177,2,1,0,3,3,0
true_14,0,3,1,0,1,0,1,7,1,1,2,1,5,4,164,0,0,3,3,0
true_15,1,0,2,0,0,0,0,7,1,0,0,0,0,2,2,164,0,1,5,14
true_16,0,0,2,0,1,1,0,1,1,1,0,13,0,1,1,0,122,5,23,10
true_17,1,0,0,0,0,0,0,3,1,0,0,1,0,2,0,1,3,167,4,5
true_18,1,0,2,0,0,0,1,3,0,1,0,5,0,4,2,1,16,15,101,3
true_19,7,0,1,0,0,0,0,2,0,0,0,2,1,1,3,46,12,5,8,38
