round,train_loss,val_loss,test_loss,rouge1,rouge2,rougeL,bleu1,bleu2,bleu3,bleu4,gini_coefficient,mean_contribution,min_contribution,max_contribution,cv_contribution,num_samples
1,2.23147741254223,1.6398515195394743,,42.89914933399949,20.419699470712814,30.00205932694892,33.07109275931272,22.311405780359514,16.82800074909486,12.973247902418901,0.0,0.0016870269014746212,0.0006253908692933083,0.004366812227074236,0.0,5000
2,1.5896860190520161,1.6369166486767976,,42.769141263223844,20.321182202939788,29.91886896712478,32.99480028691497,22.25786679734431,16.78515540783109,12.942187811006676,0.0,0.0016870269014746212,0.0006253908692933083,0.004366812227074236,0.0,5000
3,1.4973038556248064,1.5702434953878446,,43.282111272462195,20.896081900898544,30.386083092968754,33.45690210189495,22.816527744318304,17.34749439248635,13.455668143306138,0.0,0.0016870269014746212,0.0006253908692933083,0.004366812227074236,0.0,5000
4,1.457098576869115,1.569982890595168,,43.24821520764713,20.843090257115193,30.351969798351593,33.45836017921205,22.804909072099115,17.328561941454733,13.43339609183523,0.0,0.0016870269014746212,0.0006253908692933083,0.004366812227074236,0.0,5000
5,1.5719954595476593,1.569985788018546,1.6198104023049076,43.254728075531226,20.858906696921075,30.359851248531406,33.463375129115875,22.806963840078076,17.33032700664666,13.434749747988755,0.0,0.0016870269014746212,0.0006253908692933083,0.004366812227074236,0.0,5000
