client_id,round,contribution,scaled_contribution,data_size
3,1,86.53987121582031,0.6403875033637445,35889
3,3,68.85868072509766,0.6016230119384309,35889
3,4,64.50299835205078,0.09390576205255269,35889
5,1,86.26726531982422,0.3302198803809061,35889
5,2,73.289794921875,0.07525790017586163,35889
5,3,66.34960174560547,0.0,35889
5,5,62.65340042114258,0.3106412723684559,35889
2,1,85.97703552246094,0.0,35889
2,2,73.06810760498047,0.0,35889
4,1,86.8559341430664,1.0,35889
4,4,67.3529281616211,0.6933575759131889,35889
6,2,75.8134536743164,0.9319837658217193,35889
6,3,68.45042419433594,0.5037319030144264,35889
6,4,64.05654907226562,0.0,35889
6,5,61.44467544555664,0.0,35889
1,2,76.01380920410156,1.0,35889
1,5,65.33573913574219,1.0,35889
7,3,70.5201187133789,1.0,35889
0,4,68.81077575683594,1.0,35890
0,5,64.42913055419922,0.7670023793674432,35890
