,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,71,2,0,0,0,0,0,5,0,0,2,2,2,1,2,21,3,8,3,38
true_1,0,139,7,8,3,23,0,2,0,1,0,1,7,0,2,1,0,0,1,0
true_2,0,6,147,10,7,12,2,6,1,0,2,0,2,0,2,0,0,0,0,0
true_3,0,4,30,129,19,5,2,1,0,1,1,0,3,1,0,0,0,0,0,0
true_4,0,3,6,15,143,6,2,10,0,0,1,3,3,0,0,0,0,1,0,0
true_5,0,5,8,0,3,177,0,3,0,0,0,0,1,0,0,1,0,0,0,0
true_6,0,2,6,4,4,1,160,6,3,1,0,0,3,1,1,1,2,0,0,0
true_7,0,0,4,1,4,0,5,164,5,0,1,0,7,1,0,1,2,1,1,1
true_8,0,0,1,0,1,0,3,19,159,1,1,1,5,1,0,0,3,1,2,1
true_9,1,0,0,0,0,1,0,9,1,177,3,3,0,0,0,1,2,0,0,1
true_10,0,0,1,0,0,1,0,7,1,10,176,0,0,0,0,1,1,1,1,0
true_11,2,1,6,1,0,3,0,3,0,1,0,154,7,2,1,1,5,4,6,1
true_12,0,5,3,7,5,2,6,10,1,0,0,4,147,4,0,1,1,0,0,1
true_13,0,1,2,0,0,1,0,4,0,1,0,0,1,181,2,3,0,1,1,0
true_14,0,4,1,1,1,2,0,9,1,1,1,1,5,5,160,0,2,0,2,1
true_15,6,1,2,0,0,0,0,7,0,0,0,0,0,3,1,167,0,1,2,9
true_16,3,0,2,0,0,1,0,3,2,1,0,9,0,0,2,2,124,1,21,11
true_17,2,0,0,0,0,0,0,4,0,0,0,1,0,1,1,2,0,164,6,7
true_18,2,0,1,0,0,1,1,4,1,2,1,6,0,2,2,2,12,6,106,6
true_19,15,0,1,0,0,0,1,2,3,2,1,2,0,0,0,45,9,4,2,39
