,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,64,2,0,0,0,1,1,5,1,1,3,2,0,0,2,30,1,7,3,37
true_1,0,151,6,6,2,16,0,2,0,1,0,0,7,0,2,1,0,0,1,0
true_2,0,9,147,8,7,12,2,5,1,0,1,0,3,0,2,0,0,0,0,0
true_3,0,9,33,127,17,2,3,1,0,1,0,0,2,1,0,0,0,0,0,0
true_4,1,9,7,17,137,4,2,9,0,1,1,1,4,0,0,0,0,0,0,0
true_5,0,9,9,0,2,175,0,2,0,0,0,0,0,0,0,1,0,0,0,0
true_6,0,2,6,4,4,1,164,4,3,1,0,0,2,1,1,1,1,0,0,0
true_7,0,0,5,2,4,0,6,161,5,0,1,0,7,0,0,1,2,1,2,1
true_8,0,0,1,1,2,0,3,20,155,0,3,0,3,1,0,0,5,0,5,0
true_9,1,0,0,0,0,1,0,9,1,177,3,3,0,0,0,1,2,0,0,1
true_10,0,0,1,0,0,1,0,7,1,9,175,0,0,0,0,1,2,1,2,0
true_11,0,1,6,1,0,3,0,3,0,1,0,151,7,2,2,2,8,4,6,1
true_12,1,10,5,9,5,0,7,7,0,0,0,2,142,5,1,1,1,0,1,0
true_13,0,2,2,0,0,1,2,4,0,1,0,0,2,180,2,0,0,1,1,0
true_14,1,4,1,1,1,2,0,9,1,0,2,1,6,3,161,0,1,0,2,1
true_15,5,2,2,0,0,0,0,7,0,0,0,0,0,3,0,167,0,1,3,9
true_16,4,0,2,0,0,1,0,2,0,1,0,8,0,1,2,2,128,1,21,9
true_17,1,0,0,0,0,0,0,3,0,0,1,1,0,1,1,4,2,160,9,5
true_18,1,0,3,0,1,1,1,3,0,2,0,3,0,1,2,1,13,7,110,6
true_19,12,0,1,0,0,0,1,2,1,2,0,1,1,0,2,49,9,3,2,40
