,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,47,0,0,1,0,1,0,7,0,0,7,3,1,7,3,45,5,5,10,18
true_1,0,86,10,17,2,55,0,5,0,0,1,1,8,2,5,2,0,0,1,0
true_2,0,3,131,32,3,11,4,5,0,0,2,1,3,0,2,0,0,0,0,0
true_3,0,1,10,160,9,4,5,3,0,0,0,1,3,0,0,0,0,0,0,0
true_4,0,1,4,23,142,1,4,9,0,0,0,2,5,0,0,0,0,1,1,0
true_5,0,1,3,3,4,184,1,1,0,0,1,0,0,0,0,0,0,0,0,0
true_6,0,0,2,5,6,1,167,5,0,0,0,0,6,0,1,0,1,0,1,0
true_7,0,1,3,1,4,3,11,168,0,0,0,0,3,1,0,1,1,0,1,0
true_8,0,1,0,0,1,1,16,61,101,1,2,1,3,3,1,0,4,1,2,0
true_9,0,0,0,1,1,0,0,10,0,159,24,1,0,1,0,1,0,0,1,0
true_10,0,0,0,1,1,0,0,8,0,2,183,0,0,0,0,1,1,2,1,0
true_11,1,0,7,2,2,3,3,2,0,0,0,154,4,1,4,0,5,4,5,1
true_12,1,4,4,13,2,1,9,8,0,0,0,5,144,4,1,0,1,0,0,0
true_13,0,1,1,0,2,1,2,3,0,0,0,0,3,180,1,1,0,1,2,0
true_14,0,1,1,0,2,0,3,7,0,0,2,1,4,5,166,0,1,2,2,0
true_15,1,0,0,0,2,1,0,7,0,0,0,0,1,4,0,167,2,2,2,10
true_16,2,0,2,0,0,1,0,3,0,0,0,8,1,0,1,0,130,3,25,6
true_17,3,0,0,0,1,4,2,3,0,0,0,4,0,1,2,1,0,154,12,1
true_18,0,0,1,0,1,2,1,5,0,2,0,2,0,7,1,0,18,10,105,0
true_19,1,0,0,1,2,1,1,4,1,0,1,2,0,5,2,63,14,1,9,18
