class,precision,recall,f1,support,roc_auc,pr_auc
0,0.7631578947368421,0.3625,0.4915254237288136,160,0.9274445983379501,0.597156758396591
1,0.8068965517241379,0.6,0.6882352941176471,195,0.934194011117088,0.7217869047583702
2,0.743455497382199,0.7208121827411168,0.7319587628865979,197,0.9501748164817633,0.719143910800518
3,0.7135678391959799,0.7244897959183674,0.7189873417721518,196,0.961474880942864,0.7379063294080762
4,0.7621621621621621,0.7305699481865285,0.746031746031746,193,0.9696274847507318,0.8259099998209504
5,0.700374531835206,0.9444444444444444,0.8043010752688172,198,0.992058745348219,0.9222551150930931
6,0.8195876288659794,0.8153846153846154,0.8174807197943444,195,0.9802287968441814,0.8802092347864225
7,0.664,0.8383838383838383,0.7410714285714286,198,0.984709921160089,0.8451071229119886
8,0.9565217391304348,0.5527638190954773,0.7006369426751592,199,0.9559798432093257,0.7878685891732476
9,0.9518072289156626,0.7939698492462312,0.8657534246575342,199,0.9878825660084235,0.9162377205475237
10,0.8214285714285714,0.92,0.8679245283018868,200,0.9910126050420167,0.9537163366679983
11,0.5785714285714286,0.8181818181818182,0.6778242677824268,198,0.9627419208886173,0.8467920775215714
12,0.7945945945945946,0.7461928934010152,0.7696335078534031,197,0.9602020796128891,0.7995744115098099
13,0.8349056603773585,0.8939393939393939,0.8634146341463415,198,0.9916006368274005,0.9407096543858297
14,0.8764044943820225,0.7918781725888325,0.832,197,0.9829644499567398,0.895668763411429
15,0.6653386454183267,0.8391959798994975,0.7422222222222222,199,0.979736261818755,0.7837000495001389
16,0.6907216494845361,0.7362637362637363,0.7127659574468085,182,0.970561211363887,0.7669374592449474
17,0.8895348837209303,0.8138297872340425,0.85,188,0.9763533981966571,0.8807111269224098
18,0.5355450236966824,0.7290322580645161,0.6174863387978142,155,0.9568946593494847,0.7183136399489028
19,0.4,0.23809523809523808,0.29850746268656714,126,0.9142447685257784,0.26468867515787575
