,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,0,0,0,0,0,3,0,0,0,0,11,8,0,14,2,72,10,23,17,0
true_1,0,0,23,17,8,118,0,2,0,0,2,3,5,6,10,1,0,0,0,0
true_2,0,0,120,33,7,23,0,1,0,0,3,7,1,0,2,0,0,0,0,0
true_3,0,0,15,148,9,7,4,2,0,0,5,2,3,1,0,0,0,0,0,0
true_4,0,0,7,38,117,8,5,0,0,0,2,10,4,0,2,0,0,0,0,0
true_5,0,0,8,5,1,179,1,0,0,0,1,1,0,0,1,0,1,0,0,0
true_6,0,0,2,5,4,2,150,15,0,0,10,3,2,0,1,0,1,0,0,0
true_7,0,0,0,1,1,0,2,161,0,0,9,9,3,2,0,2,5,2,1,0
true_8,0,0,0,0,0,0,7,146,0,0,15,10,4,8,3,0,4,0,2,0
true_9,0,0,0,0,0,1,0,1,0,0,181,10,0,2,0,0,1,2,1,0
true_10,0,0,1,0,0,0,0,0,0,0,188,8,0,3,0,0,0,0,0,0
true_11,0,0,3,4,3,6,0,0,0,0,4,145,5,6,5,1,8,0,8,0
true_12,0,0,4,25,8,3,6,13,0,0,2,10,111,12,3,0,0,0,0,0
true_13,0,0,0,0,0,1,0,1,0,0,3,4,1,185,1,1,1,0,0,0
true_14,0,0,0,0,1,1,1,4,0,0,3,9,4,15,149,0,2,2,6,0
true_15,0,0,1,0,0,0,0,1,0,0,3,6,0,8,1,168,3,2,6,0
true_16,0,0,0,0,0,1,0,2,0,0,6,9,0,1,1,4,137,1,20,0
true_17,0,0,1,0,0,1,0,0,0,0,7,5,0,1,2,2,3,157,9,0
true_18,0,0,0,1,0,0,1,4,0,0,8,8,0,9,2,1,26,5,90,0
true_19,0,0,0,0,0,0,0,1,0,0,8,5,0,6,0,79,18,4,5,0
