,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,25,0,0,0,0,1,0,6,0,0,0,3,0,4,2,58,2,20,16,23
true_1,0,115,11,11,6,36,0,3,0,0,0,5,2,1,3,1,0,0,1,0
true_2,0,10,130,15,5,22,2,5,0,0,2,2,2,0,1,0,0,1,0,0
true_3,0,2,21,134,19,7,4,4,0,0,0,1,1,1,0,1,0,0,1,0
true_4,0,3,3,19,143,5,3,10,0,0,0,4,2,0,0,0,0,0,1,0
true_5,0,8,0,0,3,181,2,2,0,0,1,0,0,0,0,1,0,0,0,0
true_6,0,0,4,2,4,0,159,17,0,0,0,1,2,0,2,0,0,3,1,0
true_7,0,0,1,1,3,2,3,178,0,0,0,1,2,0,0,2,3,0,2,0
true_8,0,0,1,1,1,2,9,101,56,0,2,2,2,2,0,0,9,2,9,0
true_9,0,0,0,1,0,1,2,9,0,109,65,4,1,0,0,1,0,2,4,0
true_10,0,0,0,0,0,1,0,8,0,1,183,1,0,0,0,1,0,3,2,0
true_11,0,1,4,1,2,5,0,2,0,0,0,161,2,2,1,0,5,4,7,1
true_12,0,7,2,12,5,4,8,7,0,0,1,16,128,4,0,0,2,0,1,0
true_13,0,1,0,0,0,1,0,5,0,0,0,0,2,178,1,0,2,3,4,1
true_14,0,2,0,0,1,2,1,9,0,0,3,3,3,6,157,0,1,2,7,0
true_15,1,0,2,0,0,0,0,9,0,0,0,0,0,3,0,167,2,2,3,10
true_16,0,1,1,0,0,0,0,4,0,0,0,9,0,0,0,0,131,0,33,3
true_17,0,0,0,0,0,1,0,4,0,0,0,1,0,1,1,1,1,167,9,2
true_18,0,1,1,0,0,1,1,5,0,0,1,2,0,2,1,2,15,10,113,0
true_19,2,0,0,0,0,0,1,4,0,0,0,4,1,2,2,60,14,3,11,22
