,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,30,0,0,1,0,1,0,2,0,0,3,6,1,4,9,72,2,7,3,19
true_1,0,77,19,20,7,47,1,0,0,0,1,4,7,1,9,1,0,0,1,0
true_2,0,2,140,30,2,8,0,0,0,0,2,2,4,0,7,0,0,0,0,0
true_3,0,0,14,159,10,2,4,1,0,0,0,1,1,0,3,0,0,0,1,0
true_4,0,0,3,25,140,1,3,1,0,0,0,3,6,0,11,0,0,0,0,0
true_5,0,1,2,3,3,184,0,0,0,0,1,1,0,0,2,1,0,0,0,0
true_6,0,0,2,6,4,0,167,3,0,0,0,0,2,1,9,0,0,0,1,0
true_7,0,0,0,8,2,2,8,158,0,0,0,0,2,0,13,1,0,2,2,0
true_8,0,0,1,3,1,1,13,71,84,1,4,3,3,0,9,0,3,2,0,0
true_9,0,0,0,2,0,0,0,2,0,151,28,2,0,0,10,1,0,1,1,1
true_10,0,0,0,1,0,0,0,1,0,1,185,0,0,0,9,1,0,0,2,0
true_11,2,0,3,2,3,3,0,0,0,0,0,162,5,2,4,0,3,4,4,1
true_12,0,2,2,24,2,0,6,7,0,0,0,8,137,3,3,2,1,0,0,0
true_13,0,0,0,0,1,0,0,0,0,0,0,0,2,179,6,6,1,1,2,0
true_14,1,0,1,0,1,0,1,0,0,0,1,3,5,3,177,1,0,0,3,0
true_15,1,0,0,0,0,0,0,1,0,0,0,0,1,2,9,174,2,0,3,6
true_16,1,0,0,0,1,1,0,1,0,0,1,19,0,0,6,2,115,1,27,7
true_17,2,0,0,1,0,3,1,0,0,0,0,5,0,1,5,3,0,153,8,6
true_18,0,0,1,0,0,2,1,0,0,1,0,6,0,5,7,9,11,10,101,1
true_19,1,0,0,0,0,1,2,2,0,0,0,2,1,0,5,76,11,4,7,14
