,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,53,1,0,0,0,1,0,0,0,0,0,3,4,3,1,20,3,9,11,51
true_1,0,143,4,8,7,19,1,0,0,0,0,0,7,2,2,1,0,0,1,0
true_2,0,22,105,32,6,12,1,0,0,1,0,1,11,5,1,0,0,0,0,0
true_3,0,6,9,150,15,0,6,0,1,0,0,1,6,1,0,0,0,0,1,0
true_4,0,7,2,20,138,2,5,0,0,0,0,0,8,9,0,0,0,0,1,1
true_5,0,10,2,3,4,172,1,0,0,0,0,0,3,1,0,0,0,0,1,1
true_6,0,0,1,4,4,0,169,1,1,0,0,1,11,2,1,0,0,0,0,0
true_7,0,1,0,1,3,2,10,137,14,0,1,1,10,10,0,0,3,0,3,2
true_8,0,1,1,0,2,1,10,11,151,0,0,0,3,8,0,0,3,1,7,0
true_9,0,0,0,0,0,1,0,0,1,175,4,1,1,9,0,0,1,1,4,1
true_10,0,1,0,1,0,0,1,0,0,11,170,0,1,7,0,0,1,0,5,2
true_11,0,1,1,4,1,4,0,0,0,0,0,148,14,3,0,1,6,3,9,3
true_12,0,5,1,14,4,2,7,1,0,0,0,2,155,2,1,0,1,0,2,0
true_13,0,1,0,0,0,1,4,0,0,0,0,0,6,177,1,0,0,1,4,3
true_14,1,7,0,1,3,0,2,0,1,1,1,3,17,13,133,0,1,0,10,3
true_15,4,3,0,0,0,0,2,1,0,0,0,0,0,7,1,141,1,2,8,29
true_16,1,0,0,0,0,1,1,0,2,1,0,5,3,2,0,0,109,1,50,6
true_17,1,0,0,0,0,1,0,0,0,0,0,2,1,4,0,3,1,156,16,3
true_18,1,0,0,0,0,2,2,0,0,1,0,1,0,6,0,0,7,3,128,4
true_19,5,0,0,0,0,0,2,0,1,2,0,2,2,3,0,39,10,2,10,48
