,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,76,1,0,0,0,0,0,1,1,1,1,3,3,3,0,5,4,7,11,43
true_1,0,148,3,9,5,16,0,0,0,0,0,0,7,3,2,1,0,0,1,0
true_2,0,21,81,54,5,13,2,0,0,1,0,1,12,5,0,0,2,0,0,0
true_3,0,5,5,150,17,0,7,0,1,0,0,1,7,1,0,0,0,0,1,1
true_4,0,6,3,23,137,1,3,0,0,0,0,0,8,10,0,0,0,0,1,1
true_5,0,10,2,2,5,173,1,0,0,0,0,0,3,1,0,0,0,0,0,1
true_6,0,0,1,3,5,0,171,1,2,0,0,0,8,2,1,0,1,0,0,0
true_7,0,0,0,1,5,1,9,137,16,1,1,1,7,10,1,0,3,0,4,1
true_8,0,1,1,0,2,0,7,12,156,0,3,0,2,8,0,0,1,1,5,0
true_9,0,0,0,0,0,1,0,0,1,173,7,1,1,9,0,0,0,2,3,1
true_10,0,0,0,1,0,0,1,0,0,8,175,0,0,7,0,0,1,0,5,2
true_11,1,2,0,4,1,4,0,0,0,0,0,154,7,5,1,0,6,2,8,3
true_12,0,7,1,13,1,2,8,1,0,1,0,3,152,5,1,0,1,0,1,0
true_13,0,1,0,0,0,1,2,0,0,0,0,0,3,179,1,0,1,3,4,3
true_14,1,7,0,1,3,0,2,1,2,0,2,4,8,13,140,0,4,0,6,3
true_15,8,1,0,0,0,0,2,1,0,0,0,0,1,8,1,127,1,2,8,39
true_16,2,0,1,0,0,1,0,0,0,1,0,7,3,1,0,0,102,1,55,8
true_17,5,1,0,0,0,0,0,0,0,1,0,2,0,4,0,0,1,154,15,5
true_18,0,0,0,1,0,1,3,0,1,1,0,1,0,6,0,0,6,3,127,5
true_19,9,0,0,0,0,0,1,0,0,1,0,2,2,2,0,25,8,2,15,59
