,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,57,3,0,0,0,1,3,1,0,0,0,2,6,1,0,8,2,8,10,58
true_1,0,150,3,7,7,14,0,0,0,0,0,0,10,0,2,1,0,0,1,0
true_2,0,26,77,48,6,16,3,0,0,1,1,0,18,0,1,0,0,0,0,0
true_3,0,5,6,146,14,0,7,0,1,1,0,1,13,1,0,0,0,0,1,0
true_4,0,9,1,21,135,2,5,0,0,0,0,0,18,0,0,0,0,0,1,1
true_5,0,14,0,3,3,172,2,0,0,0,0,0,3,0,0,0,0,0,0,1
true_6,0,0,1,3,4,0,173,1,3,0,0,1,8,0,1,0,0,0,0,0
true_7,1,1,0,1,3,1,11,124,25,1,1,0,20,1,0,0,3,0,3,2
true_8,1,1,0,0,2,0,7,5,166,0,0,0,9,1,0,0,1,1,3,2
true_9,1,0,0,0,0,1,0,0,2,174,5,1,10,0,0,0,1,0,3,1
true_10,0,1,0,1,0,0,1,0,0,12,170,0,7,0,0,0,0,0,5,3
true_11,2,3,0,3,1,4,0,0,0,0,0,144,16,3,1,0,6,2,9,4
true_12,0,6,1,8,5,3,10,1,0,0,0,2,154,3,1,0,1,0,2,0
true_13,0,2,0,0,0,1,4,0,0,0,0,0,8,178,0,0,0,0,3,2
true_14,1,9,0,1,5,0,1,0,2,1,1,2,22,5,134,0,0,0,6,7
true_15,3,2,0,0,0,0,3,1,0,0,0,0,6,1,0,120,0,2,6,55
true_16,2,1,1,0,0,1,1,0,3,1,0,2,5,1,0,0,89,2,68,5
true_17,3,0,0,1,0,0,0,0,1,0,0,1,4,1,0,1,2,155,15,4
true_18,2,0,0,0,0,1,3,0,3,1,0,1,3,2,1,0,7,5,122,4
true_19,8,0,0,0,0,0,1,0,1,2,0,2,4,1,0,26,3,2,16,60
