class,precision,recall,f1,support,roc_auc,pr_auc
0,0.7727272727272727,0.31875,0.45132743362831856,160,0.9586599722991691,0.5991444260425633
1,0.6462882096069869,0.7589743589743589,0.6981132075471698,195,0.963916083916084,0.7467443653917154
2,0.8712871287128713,0.4467005076142132,0.5906040268456376,197,0.9381713670350529,0.6902483877497939
3,0.6367713004484304,0.7244897959183674,0.6778042959427207,196,0.9751122049267384,0.7556957882807213
4,0.7301587301587301,0.7150259067357513,0.7225130890052356,193,0.9737687963254008,0.8192261691289763
5,0.7306122448979592,0.9040404040404041,0.8081264108352144,198,0.9899725134887508,0.9061908431067363
6,0.75,0.8923076923076924,0.8149882903981265,195,0.9875574681728527,0.9085025032015528
7,0.9185185185185185,0.6262626262626263,0.7447447447447447,198,0.9728365683712829,0.8330571019410526
8,0.8532608695652174,0.7889447236180904,0.8198433420365535,199,0.9878502003154951,0.899362936086849
9,0.9398907103825137,0.864321608040201,0.900523560209424,199,0.9909038330830855,0.9333094909931758
10,0.946236559139785,0.88,0.9119170984455959,200,0.9943361344537814,0.9486555736600985
11,0.8596491228070176,0.7424242424242424,0.7967479674796748,198,0.9722165665614715,0.8466731595137689
12,0.6104417670682731,0.7715736040609137,0.6816143497757847,197,0.9671776905471237,0.7612805261860421
13,0.625,0.9090909090909091,0.7407407407407407,198,0.99104496815863,0.9396606665429758
14,0.9527027027027027,0.7157360406091371,0.8173913043478261,197,0.9796840659145509,0.8834849279458408
15,0.7558139534883721,0.6532663316582915,0.7008086253369272,199,0.9762365453703691,0.7763317854678177
16,0.7428571428571429,0.5714285714285714,0.6459627329192547,182,0.9736070785401889,0.7630736926583671
17,0.8742857142857143,0.8138297872340425,0.8429752066115702,188,0.9869040830630694,0.906192239853561
18,0.4834710743801653,0.7548387096774194,0.5894206549118388,155,0.9702226386472136,0.7247903681794579
19,0.2830188679245283,0.47619047619047616,0.35502958579881655,126,0.9386270973812137,0.2982222249103234
