,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,39,2,0,0,0,0,3,0,0,1,2,0,8,1,0,11,2,8,20,63
true_1,0,139,5,10,4,15,2,1,0,0,0,0,14,0,2,1,0,1,1,0
true_2,0,16,102,38,5,8,2,0,0,1,1,0,20,2,1,0,1,0,0,0
true_3,0,2,9,147,10,0,6,0,1,1,1,1,15,1,0,0,0,0,1,1
true_4,0,7,2,28,123,2,7,0,0,0,0,0,21,1,0,0,0,0,2,0
true_5,0,8,4,6,2,170,1,0,0,0,0,0,5,0,0,0,0,0,1,1
true_6,0,0,1,3,3,0,171,1,3,0,0,1,12,0,0,0,0,0,0,0
true_7,0,1,0,0,1,1,12,127,20,0,1,0,24,1,0,0,4,0,4,2
true_8,0,1,0,0,0,1,8,10,154,1,1,0,11,1,0,0,2,0,9,0
true_9,0,0,0,0,0,1,1,0,1,169,9,1,10,0,0,0,1,0,5,1
true_10,0,1,0,1,0,0,1,0,0,7,175,0,7,0,0,0,1,0,5,2
true_11,0,3,1,4,1,3,0,0,0,0,0,140,19,2,0,1,6,1,15,2
true_12,1,4,0,14,3,1,11,1,0,0,0,2,153,4,1,0,0,0,2,0
true_13,0,1,0,0,0,1,4,0,0,0,0,0,8,176,1,0,0,0,4,3
true_14,1,7,0,0,2,2,3,0,2,2,2,2,26,5,126,0,2,0,10,5
true_15,2,2,0,0,0,0,2,1,0,0,0,0,7,1,0,137,1,2,12,32
true_16,1,1,1,0,0,0,1,0,1,1,0,2,4,1,0,0,93,1,72,3
true_17,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,2,1,149,26,4
true_18,0,1,0,0,0,0,2,0,2,1,0,1,4,4,0,0,5,3,130,2
true_19,3,0,0,0,0,0,1,0,0,2,0,2,3,2,0,41,4,0,19,49
