,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,74,1,0,3,0,0,2,1,0,0,1,3,3,4,1,9,2,4,5,47
true_1,0,149,5,11,5,15,0,0,1,0,0,1,5,0,1,1,0,0,1,0
true_2,0,19,109,38,7,11,3,0,0,0,1,1,7,0,0,0,1,0,0,0
true_3,0,5,7,154,17,0,6,0,1,0,0,1,4,0,0,0,0,0,0,1
true_4,0,7,2,31,143,1,3,0,0,0,0,1,3,0,0,0,0,0,1,1
true_5,0,12,2,1,4,174,1,0,0,0,0,0,3,0,0,0,0,0,0,1
true_6,0,0,1,9,5,0,167,1,3,0,0,0,8,0,0,0,1,0,0,0
true_7,0,1,0,14,5,1,5,140,16,0,0,1,6,1,1,0,1,0,4,2
true_8,1,1,1,7,2,0,5,15,156,0,1,0,1,1,1,0,1,1,4,1
true_9,1,0,0,9,0,1,1,0,2,172,6,1,2,0,0,0,0,2,1,1
true_10,0,0,0,8,1,0,1,0,1,10,173,0,0,0,0,0,2,0,2,2
true_11,4,3,1,5,2,3,0,1,0,0,0,153,7,3,0,0,5,1,8,2
true_12,0,8,2,15,9,1,9,4,1,0,0,3,142,2,0,0,1,0,0,0
true_13,0,1,0,5,0,1,2,0,1,0,0,0,4,176,1,0,2,0,2,3
true_14,4,8,0,9,3,0,1,1,2,0,1,1,6,5,140,0,5,0,6,5
true_15,10,1,1,8,0,0,0,1,0,0,0,0,0,3,1,130,1,1,2,40
true_16,1,0,1,2,0,1,0,0,2,0,0,8,2,0,0,1,105,0,48,11
true_17,9,2,0,3,0,0,0,0,0,0,0,2,0,1,0,3,1,141,18,8
true_18,1,0,0,4,0,1,2,0,1,1,0,1,0,4,1,1,3,3,124,8
true_19,11,0,0,3,0,0,3,0,0,1,0,1,3,0,0,22,5,0,12,65
