model,num_clients,run_id,alpha,client_id,num_samples,kl_to_global,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19
BART-large,8,20250825_211238,0.1,2.0,1924.0,1.3858776321585906,639.0,0.0,141.0,0.0,93.0,3.0,0.0,0.0,0.0,0.0,82.0,8.0,26.0,0.0,0.0,94.0,0.0,661.0,173.0,4.0
BART-large,8,20250825_211238,0.1,3.0,2861.0,0.8664390740057465,0.0,206.0,31.0,105.0,616.0,16.0,0.0,201.0,277.0,0.0,295.0,0.0,59.0,215.0,784.0,15.0,37.0,0.0,0.0,4.0
BART-large,8,20250825_211238,0.1,4.0,2036.0,1.1806457358918927,0.0,0.0,0.0,0.0,1.0,326.0,81.0,30.0,13.0,645.0,24.0,4.0,507.0,47.0,2.0,142.0,0.0,1.0,0.0,213.0
BART-large,8,20250825_211238,0.1,5.0,843.0,2.17993553829917,0.0,0.0,0.0,658.0,59.0,0.0,0.0,98.0,0.0,0.0,19.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,2.0,0.0
BART-large,8,20250825_211238,0.1,6.0,2410.0,1.1235633326490435,0.0,0.0,550.0,0.0,1.0,177.0,143.0,436.0,505.0,54.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,443.0,0.0
BART-large,8,20250825_211238,0.1,7.0,2389.0,1.3192883756146956,0.0,10.0,0.0,23.0,0.0,4.0,556.0,0.0,0.0,0.0,356.0,780.0,3.0,475.0,0.0,0.0,0.0,85.0,2.0,95.0
BART-large,8,20250826_175548,0.5,0.0,1171.0,0.6973919184427505,13.0,74.0,115.0,1.0,30.0,193.0,41.0,13.0,20.0,12.0,389.0,62.0,51.0,7.0,19.0,65.0,25.0,39.0,0.0,2.0
BART-large,8,20250826_175548,0.5,1.0,2117.0,0.4050005535571725,39.0,387.0,165.0,23.0,1.0,65.0,55.0,184.0,138.0,51.0,63.0,8.0,191.0,156.0,2.0,209.0,95.0,82.0,203.0,0.0
BART-large,8,20250826_175548,0.5,2.0,1785.0,0.892103478934214,516.0,1.0,14.0,2.0,138.0,221.0,8.0,3.0,6.0,103.0,17.0,112.0,96.0,10.0,21.0,118.0,9.0,367.0,5.0,18.0
BART-large,8,20250826_175548,0.5,3.0,3921.0,0.3534914343977669,1.0,208.0,368.0,189.0,397.0,14.0,327.0,373.0,243.0,357.0,44.0,54.0,123.0,208.0,561.0,72.0,180.0,5.0,0.0,197.0
BART-large,8,20250826_175548,0.5,4.0,1734.0,0.4402447595752248,3.0,31.0,15.0,1.0,43.0,156.0,117.0,16.0,242.0,0.0,156.0,96.0,320.0,151.0,89.0,135.0,13.0,56.0,35.0,59.0
BART-large,8,20250826_175548,0.5,5.0,810.0,1.2266838961580473,8.0,4.0,31.0,417.0,116.0,1.0,5.0,66.0,32.0,31.0,5.0,1.0,1.0,0.0,36.0,3.0,1.0,1.0,36.0,15.0
BART-large,8,20250826_175548,0.5,6.0,1013.0,0.5953843154606141,40.0,8.0,41.0,33.0,36.0,14.0,62.0,2.0,92.0,219.0,77.0,59.0,0.0,7.0,24.0,1.0,68.0,37.0,6.0,187.0
BART-large,8,20250826_175548,0.5,7.0,2525.0,0.4395601650421489,19.0,65.0,39.0,120.0,9.0,126.0,165.0,135.0,24.0,22.0,48.0,401.0,5.0,253.0,38.0,195.0,337.0,165.0,335.0,24.0
BART-large,9,20250826_202248,0.5,0.0,1367.0,0.7165717959889264,12.0,71.0,92.0,0.0,1.0,86.0,236.0,13.0,5.0,284.0,20.0,54.0,4.0,118.0,96.0,258.0,1.0,8.0,8.0,0.0
BART-large,9,20250826_202248,0.5,1.0,2158.0,0.4781512085151239,38.0,369.0,133.0,16.0,123.0,292.0,6.0,184.0,195.0,13.0,66.0,11.0,130.0,138.0,45.0,0.0,93.0,63.0,0.0,243.0
BART-large,9,20250826_202248,0.5,2.0,1669.0,0.9290369790564867,502.0,1.0,12.0,1.0,352.0,18.0,18.0,3.0,194.0,14.0,9.0,73.0,91.0,38.0,133.0,85.0,1.0,1.0,120.0,3.0
BART-large,9,20250826_202248,0.5,3.0,2132.0,0.4737801177208374,1.0,198.0,296.0,133.0,38.0,205.0,42.0,372.0,26.0,86.0,13.0,261.0,27.0,89.0,100.0,0.0,1.0,180.0,42.0,22.0
BART-large,9,20250826_202248,0.5,4.0,1046.0,0.7908893504390504,3.0,30.0,12.0,1.0,103.0,2.0,1.0,16.0,74.0,13.0,150.0,25.0,9.0,74.0,1.0,35.0,341.0,34.0,106.0,16.0
BART-large,9,20250826_202248,0.5,5.0,1356.0,0.5846621352965178,8.0,4.0,25.0,295.0,32.0,19.0,39.0,65.0,19.0,0.0,177.0,68.0,30.0,4.0,124.0,36.0,59.0,230.0,121.0,1.0
BART-large,9,20250826_202248,0.5,6.0,1420.0,0.4434656427073919,39.0,7.0,33.0,24.0,8.0,165.0,9.0,2.0,53.0,84.0,167.0,243.0,26.0,147.0,46.0,67.0,51.0,57.0,186.0,6.0
BART-large,9,20250826_202248,0.5,7.0,1803.0,0.5016444841543433,18.0,62.0,31.0,85.0,68.0,0.0,17.0,134.0,26.0,208.0,185.0,53.0,454.0,126.0,13.0,115.0,163.0,27.0,6.0,12.0
BART-large,9,20250826_202248,0.5,8.0,2125.0,0.5243410484355653,18.0,36.0,154.0,231.0,45.0,3.0,412.0,3.0,205.0,93.0,12.0,5.0,16.0,58.0,232.0,202.0,18.0,152.0,31.0,199.0
BART-large,9,20250825_233032,0.1,0.0,946.0,1.7125538484326368,0.0,16.0,9.0,0.0,0.0,3.0,1.0,0.0,0.0,476.0,5.0,1.0,0.0,99.0,105.0,0.0,0.0,0.0,0.0,231.0
BART-large,9,20250825_233032,0.1,1.0,1548.0,1.0520324684512186,0.0,545.0,58.0,0.0,91.0,21.0,4.0,169.0,249.0,0.0,0.0,0.0,0.0,219.0,4.0,139.0,0.0,33.0,16.0,0.0
BART-large,9,20250825_233032,0.1,2.0,2409.0,1.2192741231671231,639.0,0.0,141.0,0.0,601.0,404.0,0.0,0.0,245.0,0.0,37.0,2.0,37.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0
BART-large,9,20250825_233032,0.1,3.0,3945.0,0.7925905148978941,0.0,206.0,31.0,69.0,1.0,0.0,551.0,525.0,0.0,19.0,0.0,439.0,9.0,24.0,121.0,517.0,27.0,713.0,602.0,91.0
BART-large,9,20250825_233032,0.1,4.0,394.0,1.62424062518721,0.0,0.0,0.0,0.0,57.0,219.0,63.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,33.0,8.0,0.0,1.0,0.0
BART-large,9,20250825_233032,0.1,5.0,1205.0,1.4935497035579854,0.0,0.0,0.0,430.0,1.0,5.0,0.0,10.0,0.0,0.0,311.0,1.0,0.0,0.0,244.0,44.0,1.0,0.0,1.0,157.0
BART-large,9,20250825_233032,0.1,6.0,2354.0,1.3713862548962048,0.0,0.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,446.0,350.0,0.0,299.0,1.0,0.0,692.0,0.0,0.0,0.0
BART-large,9,20250825_233032,0.1,7.0,543.0,1.5247281664507188,0.0,10.0,0.0,15.0,16.0,0.0,6.0,88.0,0.0,258.0,0.0,0.0,0.0,138.0,8.0,4.0,0.0,0.0,0.0,0.0
