client_id,train_samples,val_samples,test_samples,contribution,percentage,num_clients
0,7620,324,32,7620,0.762,4
1,6,739,1,6,0.0006,4
2,84,1674,53,84,0.0084,4
3,2290,2263,14,2290,0.229,4
