client_id,round,contribution,scaled_contribution,data_size
3,1,90.79924774169922,1.0,41016
3,3,71.3851547241211,1.0,41016
3,4,65.96685791015625,0.22330450056678341,41016
5,1,89.89783477783203,0.0,41016
5,2,75.99201202392578,0.0,41016
2,1,90.38500213623047,0.5404485823106221,41016
2,2,76.06927490234375,0.02629010233591726,41016
2,3,67.74820709228516,0.0,41016
2,4,64.29859924316406,0.0,41016
2,5,61.156761169433594,0.0,41016
1,2,78.93087005615234,1.0,41016
1,3,70.18134307861328,0.6690049548774706,41016
0,4,71.76937866210938,1.0,41017
0,5,67.12116241455078,0.6499432168683313,41017
4,5,70.33356475830078,1.0,41016
