,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,1,2,1,0,0,2,0,6,4,0,6,2,1,7,0,80,3,7,4,34
true_1,0,124,15,4,4,26,1,3,2,0,0,0,11,0,1,1,0,1,1,1
true_2,0,5,138,14,9,15,1,5,1,0,2,0,6,0,1,0,0,0,0,0
true_3,0,2,33,112,9,1,10,2,0,0,3,0,23,1,0,0,0,0,0,0
true_4,0,4,10,14,133,4,6,10,0,0,3,1,8,0,0,0,0,0,0,0
true_5,0,5,8,0,0,180,0,2,0,0,2,0,1,0,0,0,0,0,0,0
true_6,0,0,2,2,3,0,163,10,4,0,4,0,5,0,1,0,1,0,0,0
true_7,0,0,0,0,3,0,2,163,10,0,4,0,8,2,0,2,2,0,2,0
true_8,0,0,1,0,0,0,6,21,156,0,7,0,2,2,0,0,1,0,2,1
true_9,0,0,1,0,0,1,0,9,1,163,20,1,0,0,0,0,0,1,1,1
true_10,0,1,0,0,0,1,0,7,1,3,183,0,0,0,0,1,0,1,2,0
true_11,0,0,4,0,1,7,0,2,0,1,1,135,18,5,4,1,6,2,9,2
true_12,0,4,5,8,5,2,8,9,0,0,2,4,140,7,2,1,0,0,0,0
true_13,0,1,0,0,0,1,2,5,0,0,3,0,3,179,1,0,0,0,1,2
true_14,0,6,0,0,2,2,1,9,1,0,4,4,11,9,140,0,1,0,6,1
true_15,0,0,0,0,0,0,1,7,1,0,2,0,0,2,1,172,0,1,3,9
true_16,0,1,3,0,1,0,0,4,1,0,3,4,1,2,1,3,107,2,26,23
true_17,0,0,1,0,0,0,0,3,1,0,7,0,0,2,1,4,2,156,9,2
true_18,0,0,1,0,0,0,1,7,1,1,6,3,0,6,3,3,12,8,94,9
true_19,0,0,0,0,0,0,0,2,1,1,3,2,0,5,0,75,6,4,3,24
