class,precision,recall,f1,support,roc_auc,pr_auc
0,0.8072289156626506,0.41875,0.551440329218107,160,0.9409175900277008,0.659023300398935
1,0.7935483870967742,0.6307692307692307,0.7028571428571428,195,0.9577235072619689,0.7415126716281197
2,0.7133757961783439,0.5685279187817259,0.632768361581921,197,0.9534850351124693,0.6847842523618265
3,0.7445255474452555,0.5204081632653061,0.6126126126126126,196,0.9580930301611411,0.6957462283068817
4,0.6147540983606558,0.7772020725388601,0.6864988558352403,193,0.9713338383831067,0.8023453238575452
5,0.717741935483871,0.898989898989899,0.7982062780269058,198,0.9928215525919892,0.9024431118673728
6,0.7746478873239436,0.8461538461538461,0.8088235294117647,195,0.9866164604626143,0.8962858210957919
7,0.5225225225225225,0.8787878787878788,0.655367231638418,198,0.983436690533555,0.8370892540592626
8,0.9391891891891891,0.6984924623115578,0.8011527377521613,199,0.9544065890921986,0.841794673370562
9,0.8450704225352113,0.9045226130653267,0.8737864077669902,199,0.9948637052526705,0.9475777113336576
10,0.9230769230769231,0.84,0.8795811518324608,200,0.9863361344537815,0.9163980463321987
11,0.8172043010752689,0.7676767676767676,0.7916666666666666,198,0.9742455348558372,0.8364412041181232
12,0.6860986547085202,0.7766497461928934,0.7285714285714285,197,0.9662414527455635,0.7885908470152652
13,0.8116591928251121,0.9141414141414141,0.8598574821852731,198,0.9880191896569276,0.9351539257222765
14,0.8895027624309392,0.817258883248731,0.8518518518518519,197,0.9819017703276549,0.8886933537146838
15,0.6972477064220184,0.7638190954773869,0.7290167865707434,199,0.9706513525341633,0.7736078462385213
16,0.6746411483253588,0.7747252747252747,0.7212276214833759,182,0.9745733642054712,0.7841565609502417
17,0.7544642857142857,0.898936170212766,0.8203883495145631,188,0.9912424118227069,0.9051559960178883
18,0.6904761904761905,0.5612903225806452,0.6192170818505338,155,0.951870789274082,0.6682566446141212
19,0.40298507462686567,0.21428571428571427,0.27979274611398963,126,0.9137590821180284,0.35348647507150516
