,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,43,3,1,0,0,0,0,4,4,1,1,1,0,1,1,32,8,7,5,48
true_1,0,146,10,6,6,14,0,3,0,0,0,0,6,0,1,1,0,1,1,0
true_2,0,8,147,8,10,9,1,5,0,1,0,0,5,0,1,0,2,0,0,0
true_3,0,4,41,111,24,0,5,3,1,1,0,0,4,1,0,1,0,0,0,0
true_4,0,6,8,16,139,2,3,10,0,1,0,1,6,0,1,0,0,0,0,0
true_5,0,8,13,1,4,168,0,2,1,0,0,0,0,0,0,0,1,0,0,0
true_6,0,2,8,2,3,0,168,3,5,0,0,0,3,0,1,0,0,0,0,0
true_7,0,0,3,1,3,0,5,164,10,0,0,0,5,1,0,1,2,0,2,1
true_8,0,1,1,0,2,0,3,19,166,0,1,1,0,1,0,0,2,1,0,1
true_9,0,0,0,0,0,1,0,9,3,175,5,1,0,0,0,0,3,0,0,2
true_10,0,0,2,0,0,0,0,7,3,9,172,1,0,0,1,1,3,0,0,1
true_11,2,1,9,1,2,2,1,2,2,0,0,145,5,4,2,0,8,3,5,4
true_12,0,12,6,11,8,1,7,8,4,0,0,3,128,5,1,0,3,0,0,0
true_13,0,1,1,0,0,1,2,5,1,0,0,0,2,179,1,1,0,1,1,2
true_14,1,5,2,0,3,1,0,10,0,1,0,1,4,5,157,0,1,1,4,1
true_15,2,1,3,0,0,0,0,7,1,0,0,0,0,3,1,164,0,1,1,15
true_16,0,0,1,0,0,1,0,2,2,2,0,7,0,1,1,0,150,1,7,7
true_17,0,0,0,0,0,0,0,4,2,0,0,1,0,1,0,2,6,167,2,3
true_18,1,0,3,0,0,0,1,3,0,1,0,6,0,3,5,3,29,13,81,6
true_19,4,0,2,0,0,0,1,2,1,4,1,2,0,0,1,52,16,1,1,38
