,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,64,2,1,0,0,0,0,8,3,2,1,2,0,5,1,29,3,4,5,30
true_1,0,149,7,6,4,15,1,3,1,0,0,0,5,1,1,1,0,0,1,0
true_2,0,8,145,11,7,9,2,6,0,2,1,1,3,0,2,0,0,0,0,0
true_3,0,5,34,114,22,0,8,2,1,1,1,0,6,1,0,1,0,0,0,0
true_4,0,5,8,11,141,3,6,10,0,0,0,3,5,0,0,0,0,0,1,0
true_5,0,9,9,1,3,172,0,3,1,0,0,0,0,0,0,0,0,0,0,0
true_6,0,2,7,1,3,0,166,7,5,0,0,0,3,0,1,0,0,0,0,0
true_7,1,1,4,1,3,0,6,159,10,0,0,0,7,1,0,1,2,0,2,0
true_8,0,0,1,0,2,0,4,20,162,1,2,1,1,1,0,0,2,0,2,0
true_9,2,0,0,0,0,1,0,10,1,178,3,1,1,0,0,0,1,0,0,1
true_10,0,0,1,0,0,1,0,7,1,16,168,0,0,0,0,1,3,0,1,1
true_11,2,1,7,1,2,1,1,3,0,1,0,154,4,4,2,0,5,2,6,2
true_12,0,6,8,7,6,0,13,5,1,0,0,5,138,4,1,0,3,0,0,0
true_13,0,1,2,0,0,1,2,3,0,1,0,0,2,179,1,1,0,1,2,2
true_14,1,4,3,0,2,0,1,7,2,3,0,1,7,3,154,0,2,0,5,2
true_15,4,2,2,0,0,0,1,7,0,0,0,0,0,4,0,159,1,1,1,17
true_16,1,0,2,0,0,1,0,1,2,1,0,15,0,1,0,1,139,0,9,9
true_17,3,0,1,0,0,0,0,4,1,1,0,6,0,1,0,1,2,159,4,5
true_18,4,1,3,0,0,0,1,3,0,1,0,7,0,4,2,1,31,6,87,4
true_19,11,0,1,0,0,0,2,2,3,2,2,2,0,1,1,46,15,0,1,37
