class,precision,recall,f1,support,roc_auc,pr_auc
0,0.8148148148148148,0.275,0.411214953271028,160,0.9591308864265927,0.6425477089719106
1,0.7888888888888889,0.7282051282051282,0.7573333333333333,195,0.9664952483414022,0.7764839588323695
2,0.5490909090909091,0.766497461928934,0.6398305084745762,197,0.9710547663596546,0.774024805418339
3,0.6918604651162791,0.6071428571428571,0.6467391304347826,196,0.9742000045681395,0.7262994901844464
4,0.7722222222222223,0.7202072538860104,0.7453083109919572,193,0.9773031790613896,0.8278082699475431
5,0.8564102564102564,0.8434343434343434,0.8498727735368957,198,0.9890775051749295,0.9088779248242493
6,0.835,0.8564102564102564,0.8455696202531645,195,0.9899085529854761,0.9138025588813545
7,0.5919117647058824,0.8131313131313131,0.6851063829787234,198,0.9858106541337225,0.8760474987580067
8,0.8247422680412371,0.8040201005025126,0.8142493638676844,199,0.9855029839761676,0.8931161443058873
9,0.8963730569948186,0.8693467336683417,0.8826530612244898,199,0.9940503413173399,0.9411847678311756
10,0.9301075268817204,0.865,0.8963730569948186,200,0.9932366946778711,0.9464609360209337
11,0.8370786516853933,0.7525252525252525,0.7925531914893617,198,0.9742554322621513,0.8297247299409148
12,0.7513812154696132,0.6903553299492385,0.7195767195767195,197,0.9711712633243403,0.7803228764153607
13,0.8731707317073171,0.9040404040404041,0.8883374689826302,198,0.9896282251405432,0.9390151688608427
14,0.9090909090909091,0.8121827411167513,0.8579088471849866,197,0.9869551813445739,0.906122493212977
15,0.6287878787878788,0.8341708542713567,0.7170626349892009,199,0.978658343523836,0.8136589388007961
16,0.6076923076923076,0.8681318681318682,0.7149321266968326,182,0.9841167750866747,0.8192279560897541
17,0.8716577540106952,0.8670212765957447,0.8693333333333333,188,0.9936384047899072,0.9269449124917564
18,0.7522935779816514,0.5290322580645161,0.6212121212121212,155,0.9697961004774015,0.7057544841707238
19,0.29357798165137616,0.25396825396825395,0.2723404255319149,126,0.9351989789695606,0.290998024171499
