round,client_id,accuracy,macro_precision,macro_recall,macro_f1,num_samples
9,0,0.7140221402214022,0.5749725275381586,0.7416983940069097,0.595022674348356,542
9,1,0.762962962962963,0.564084012886838,0.5714123026191293,0.5596324065569158,405
9,2,0.7003154574132492,0.5323344866042353,0.5800585726625155,0.5294848056531262,317
9,3,0.7472118959107806,0.5418809041835357,0.5535983395689279,0.5317825838899575,269
9,4,0.7970085470085471,0.5280614808532429,0.641466812696865,0.5283004352329979,468
9,5,0.7195571955719557,0.5670088428289229,0.7120790796173679,0.5583910020373316,271
9,6,0.7214076246334311,0.5538228701492155,0.5762522681997699,0.5455574531974141,341
9,7,0.7747572815533981,0.5188243039260328,0.6069839928935468,0.5234266665872236,515
9,8,0.7,0.5719902319902319,0.6134825596905429,0.5661354309250223,220
9,9,0.7606635071090048,0.5786444131920819,0.6205471513208413,0.5828445271929533,422
