,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,5,2,5,0,2,2,0,0,4,0,1,7,0,6,7,33,10,5,1,70
true_1,0,92,37,2,18,29,0,0,2,0,1,1,3,1,7,0,0,0,0,2
true_2,0,6,138,1,28,12,0,2,2,0,0,3,1,1,2,0,0,0,1,0
true_3,0,2,37,25,119,2,0,0,5,0,0,2,3,0,1,0,0,0,0,0
true_4,0,4,41,2,129,3,0,1,4,0,0,1,6,1,1,0,0,0,0,0
true_5,0,5,58,0,4,126,0,0,0,0,0,2,0,0,2,0,1,0,0,0
true_6,0,6,17,1,65,2,28,14,16,0,0,2,33,0,7,0,3,0,0,1
true_7,0,0,9,1,2,1,0,135,32,0,1,2,5,0,2,0,6,0,0,2
true_8,0,1,10,0,2,0,1,6,168,1,1,1,1,2,1,0,3,0,0,1
true_9,0,0,11,0,1,0,0,0,6,173,3,1,0,2,0,0,0,0,0,2
true_10,0,0,10,0,0,0,0,0,6,10,163,3,1,2,4,0,1,0,0,0
true_11,1,4,9,0,9,1,0,0,3,0,0,138,7,6,7,0,5,0,3,5
true_12,0,7,15,2,37,0,1,2,11,1,0,9,104,6,2,0,0,0,0,0
true_13,0,4,4,0,0,0,2,1,2,0,0,1,5,168,7,0,1,0,0,3
true_14,0,3,8,0,2,1,1,0,5,0,1,4,4,7,153,0,5,1,1,1
true_15,2,1,6,0,0,0,0,1,3,0,0,2,0,6,2,95,1,0,1,79
true_16,0,0,2,0,1,1,0,0,8,1,0,20,1,2,4,0,128,0,3,11
true_17,1,0,6,0,0,0,0,0,4,0,0,6,1,1,3,1,13,133,0,19
true_18,7,0,5,0,1,1,0,0,7,1,1,22,0,20,7,2,42,6,23,10
true_19,3,1,3,0,0,0,0,0,5,0,0,3,1,2,2,40,13,1,0,52
