,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,73,2,1,0,0,1,0,3,1,2,1,4,1,0,1,20,5,9,7,29
true_1,0,145,8,8,3,16,0,3,0,1,0,1,4,0,3,1,0,1,1,0
true_2,0,6,149,15,7,6,0,6,1,0,2,0,2,0,2,0,1,0,0,0
true_3,0,1,31,136,16,0,5,1,0,1,0,0,2,1,0,1,1,0,0,0
true_4,0,6,11,23,131,1,4,10,0,1,0,3,3,0,0,0,0,0,0,0
true_5,0,10,11,0,1,173,0,1,0,1,0,0,0,0,0,0,1,0,0,0
true_6,0,0,7,2,5,0,162,4,5,0,0,4,3,0,2,0,1,0,0,0
true_7,0,0,6,1,1,0,6,148,18,0,1,1,7,1,1,0,4,1,1,1
true_8,1,1,2,0,1,0,3,19,164,1,0,1,1,1,0,0,2,2,0,0
true_9,0,0,0,0,0,1,0,9,2,174,5,3,0,0,0,1,2,1,0,1
true_10,1,0,2,0,0,0,0,7,1,9,175,1,0,0,0,1,3,0,0,0
true_11,2,2,5,2,0,3,0,2,0,0,0,156,5,3,3,0,6,3,4,2
true_12,1,8,5,10,6,1,8,3,2,0,0,7,138,6,1,0,1,0,0,0
true_13,0,2,2,0,0,1,2,4,0,0,0,0,1,179,3,0,0,1,1,2
true_14,3,2,2,0,2,2,0,7,2,0,1,3,4,5,157,0,4,0,2,1
true_15,7,1,2,0,0,0,0,7,1,0,0,1,0,2,1,149,1,1,2,24
true_16,4,1,3,0,1,0,0,2,1,1,0,14,0,1,1,0,135,2,9,7
true_17,1,0,1,0,0,0,0,3,0,0,0,5,0,1,0,0,5,160,6,6
true_18,3,0,2,0,0,1,1,3,0,1,0,8,0,3,3,0,24,10,94,2
true_19,17,0,2,0,0,0,0,2,1,1,0,2,0,1,2,40,15,2,1,40
