round,client_id,accuracy,macro_precision,macro_recall,macro_f1,num_samples
16,0,0.7343173431734318,0.5820402217939696,0.7081663664399872,0.6045565319958118,542
16,1,0.7925925925925926,0.6025514471114817,0.6044278363972779,0.593249333594834,405
16,2,0.7160883280757098,0.551708686058683,0.5915771232369054,0.5437618889633214,317
16,3,0.7769516728624535,0.6082058128275234,0.5659614274614275,0.5648735333007779,269
16,4,0.8012820512820513,0.5382926660284574,0.6379607077857276,0.5319092910790054,468
16,5,0.7343173431734318,0.573999222999223,0.6654508557779548,0.5683305009656219,271
16,6,0.7214076246334311,0.5434273207195541,0.5644632949523684,0.5338607146512405,341
16,7,0.7922330097087379,0.5341099504763193,0.6113469889471513,0.5404351751503188,515
16,8,0.7363636363636363,0.6051356976356976,0.6614558323329333,0.6060171734899504,220
16,9,0.7582938388625592,0.5951436469191331,0.5988859946100951,0.5841349715813526,422
