,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,76,3,2,0,0,1,0,0,3,1,1,6,1,0,1,12,3,6,5,39
true_1,1,141,8,8,5,18,0,1,0,1,0,2,6,0,2,1,0,0,1,0
true_2,0,6,150,14,7,7,0,1,0,1,1,5,2,0,3,0,0,0,0,0
true_3,0,1,30,137,18,0,4,0,0,1,0,1,2,1,0,1,0,0,0,0
true_4,0,7,7,19,138,2,4,1,0,1,0,10,4,0,0,0,0,0,0,0
true_5,0,10,9,0,2,174,0,0,0,1,0,1,0,0,0,0,0,0,0,1
true_6,0,0,7,2,7,0,160,4,5,0,0,5,3,0,1,0,1,0,0,0
true_7,0,0,6,2,1,0,5,140,16,1,0,9,7,1,1,0,6,1,1,1
true_8,1,1,2,0,1,0,2,12,165,1,1,7,0,1,0,0,3,2,0,0
true_9,1,0,0,0,0,1,0,0,2,176,4,12,0,0,0,0,2,0,0,1
true_10,1,0,2,0,0,0,0,0,2,10,173,7,0,0,0,1,3,0,0,1
true_11,2,2,4,1,3,3,0,0,0,0,0,158,4,3,2,0,7,2,4,3
true_12,0,5,7,10,8,1,8,3,2,0,0,5,139,5,2,0,2,0,0,0
true_13,0,1,2,0,1,1,2,1,0,0,0,3,1,179,2,0,0,1,1,3
true_14,2,4,2,0,2,2,0,0,3,2,1,8,5,5,156,0,2,0,2,1
true_15,6,1,2,0,0,0,0,1,1,0,0,7,0,3,0,142,1,1,2,32
true_16,3,1,3,0,1,0,0,1,1,1,0,13,0,1,0,0,137,1,10,9
true_17,4,0,1,0,0,0,0,0,0,0,0,6,0,1,0,1,5,157,6,7
true_18,3,0,2,0,0,1,1,0,2,1,0,7,0,3,3,0,24,7,96,5
true_19,18,0,2,0,0,0,0,0,1,1,1,4,0,1,2,30,13,0,1,52
