round,client_id,accuracy,macro_precision,macro_recall,macro_f1,num_samples
12,0,0.7250922509225092,0.5867630817696661,0.701385109836529,0.6087812665101816,542
12,1,0.7901234567901234,0.5899310657728176,0.5941206359524627,0.5836879344517182,405
12,2,0.694006309148265,0.5661572264006435,0.6036507894161915,0.5570320482885857,317
12,3,0.7657992565055762,0.5829623227649543,0.560707896678485,0.5469419687066747,269
12,4,0.7884615384615384,0.5317507337420523,0.6505746019384536,0.519189261169678,468
12,5,0.7195571955719557,0.5764398795648795,0.6651468701220657,0.5686978293772772,271
12,6,0.718475073313783,0.5363659289626781,0.5759535114935302,0.5340767329797899,341
12,7,0.7786407766990291,0.5246885912070325,0.604449054154179,0.5309666027062815,515
12,8,0.7045454545454546,0.6071533806298348,0.6507418756976474,0.6010461324341495,220
12,9,0.7535545023696683,0.5837629517423373,0.6149694202284044,0.5821199850589742,422
