class,precision,recall,f1,support,roc_auc,pr_auc
0,0.0,0.0,0.0,160,0.8848744806094183,0.2873355622651233
1,0.6455026455026455,0.6256410256410256,0.6354166666666666,195,0.9549937242244934,0.7145814142608922
2,0.3817663817663818,0.6802030456852792,0.48905109489051096,197,0.9317207027892498,0.5492295465899845
3,0.0,0.0,0.0,196,0.9329689766225462,0.3764980857634444
4,0.33181818181818185,0.7564766839378239,0.46129541864139023,193,0.9278862797869522,0.5221750839953083
5,0.88,0.3333333333333333,0.4835164835164835,198,0.9797781849853519,0.813430640315337
6,0.9130434782608695,0.3230769230769231,0.4772727272727273,195,0.9499028151335844,0.7509325718020907
7,0.6801801801801802,0.7626262626262627,0.719047619047619,198,0.9671816145780312,0.6894425282807805
8,0.907563025210084,0.542713567839196,0.6792452830188679,199,0.9690633227746124,0.7693715510337675
9,0.9553072625698324,0.8592964824120602,0.9047619047619048,199,0.9911669802386337,0.9344970002885612
10,0.8099547511312217,0.895,0.850356294536817,200,0.9883564425770308,0.9355235561431909
11,0.8802816901408451,0.6313131313131313,0.7352941176470589,198,0.9581551800196817,0.7831632034305384
12,0.3742690058479532,0.649746192893401,0.4749536178107607,197,0.9338737655939,0.620115350721847
13,0.845,0.8535353535353535,0.8492462311557789,198,0.9884681077290259,0.9131445151259852
14,0.7883597883597884,0.7563451776649747,0.772020725388601,197,0.971798500030545,0.8502060522453194
15,0.45646437994722955,0.8693467336683417,0.5986159169550173,199,0.9654052958716856,0.7234139519435525
16,0.6407766990291263,0.7252747252747253,0.6804123711340206,182,0.9682511607678832,0.7221670083437547
17,0.7760416666666666,0.7925531914893617,0.7842105263157895,188,0.9836141404421636,0.8755154344627611
18,0.4007936507936508,0.6516129032258065,0.4963144963144963,155,0.9537438093963325,0.5450213796955928
19,0.6666666666666666,0.015873015873015872,0.031007751937984496,126,0.9265568100639451,0.24278590180319978
