,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,28,1,1,0,0,2,0,0,0,0,0,4,7,1,1,44,5,14,14,38
true_1,0,130,14,3,11,18,1,1,0,0,0,1,9,0,3,3,0,0,1,0
true_2,0,4,143,6,16,7,0,0,0,0,2,2,12,1,3,0,0,0,1,0
true_3,0,1,36,68,69,1,3,0,1,1,0,1,13,1,1,0,0,0,0,0
true_4,0,5,10,10,142,1,3,0,0,0,0,2,19,0,0,0,0,0,1,0
true_5,0,11,16,0,2,164,0,0,0,1,0,0,3,0,0,0,1,0,0,0
true_6,0,0,6,3,4,0,157,5,3,1,0,2,9,1,1,0,0,2,1,0
true_7,0,0,4,0,3,0,4,144,11,1,1,0,20,0,1,0,3,1,3,2
true_8,1,1,2,0,2,0,4,19,146,0,1,1,12,1,1,0,3,1,4,0
true_9,0,0,1,0,0,0,0,0,3,175,4,0,9,0,0,1,2,2,2,0
true_10,0,0,2,0,0,0,0,0,0,10,174,1,7,0,1,1,2,2,0,0
true_11,1,2,7,0,1,0,0,0,1,0,0,151,10,5,2,0,6,4,6,2
true_12,0,3,4,6,13,1,5,3,0,0,0,3,149,6,2,0,1,0,1,0
true_13,0,2,2,0,0,1,0,0,0,0,0,0,5,177,3,2,0,2,3,1
true_14,1,2,1,0,1,1,0,1,1,0,0,0,15,6,159,0,0,2,7,0
true_15,1,0,2,0,0,0,0,1,0,1,0,0,6,2,1,166,1,2,6,10
true_16,0,1,2,0,0,0,0,1,0,1,1,5,1,1,1,0,129,2,30,7
true_17,0,0,1,0,1,1,0,0,0,0,1,2,3,2,0,1,2,160,8,6
true_18,0,0,4,0,0,0,1,1,0,2,0,4,3,3,2,1,21,8,101,4
true_19,2,0,1,0,0,0,0,0,1,0,0,3,3,1,2,66,12,2,7,26
