,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,90,1,1,0,0,0,0,1,0,1,5,2,6,0,3,7,2,5,7,29
true_1,0,143,12,14,4,11,2,0,0,0,0,0,5,0,2,1,0,0,1,0
true_2,0,8,154,19,4,2,0,0,0,0,2,0,6,0,2,0,0,0,0,0
true_3,0,5,21,155,6,1,2,0,0,0,2,0,3,1,0,0,0,0,0,0
true_4,1,4,15,27,132,0,1,0,0,0,1,0,12,0,0,0,0,0,0,0
true_5,0,23,32,4,2,135,0,0,0,0,0,0,1,0,0,0,0,0,0,1
true_6,1,1,8,10,3,0,154,6,1,0,0,0,6,1,2,0,1,0,1,0
true_7,1,0,6,3,4,1,4,140,8,1,2,0,20,0,1,1,5,0,1,0
true_8,1,1,0,0,3,0,6,7,159,0,4,0,10,0,1,0,3,1,3,0
true_9,1,1,1,0,0,0,0,0,1,164,19,0,9,0,0,0,1,1,0,1
true_10,0,1,2,0,0,0,0,0,0,4,180,0,7,0,1,1,1,1,2,0
true_11,4,2,11,2,1,1,0,1,2,0,1,133,12,1,5,0,9,2,9,2
true_12,0,10,3,21,4,0,5,3,3,1,0,2,136,6,1,0,2,0,0,0
true_13,3,1,2,0,0,1,2,0,1,1,0,0,4,176,2,0,1,1,3,0
true_14,3,3,1,1,2,1,1,1,0,0,2,0,17,6,151,0,3,0,5,0
true_15,15,1,3,0,0,0,0,2,0,0,0,0,6,2,1,145,0,3,5,16
true_16,4,0,3,0,0,0,0,1,2,1,0,3,2,0,1,0,138,0,22,5
true_17,2,0,0,0,0,2,0,1,0,0,1,0,3,1,1,1,1,164,8,3
true_18,6,0,2,0,0,1,1,0,0,2,2,1,3,2,1,3,18,10,101,2
true_19,30,0,1,0,1,0,0,1,1,0,0,1,2,0,3,39,13,3,5,26
