,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,85,1,2,0,0,0,0,2,0,1,4,2,4,0,1,11,2,6,15,24
true_1,0,143,11,13,4,13,2,0,0,0,0,0,6,0,1,1,0,0,1,0
true_2,0,9,157,16,3,1,1,0,0,0,1,0,7,0,2,0,0,0,0,0
true_3,0,3,24,152,6,1,2,0,0,1,1,0,4,1,0,0,0,0,0,1
true_4,0,5,16,25,128,0,0,0,1,0,1,0,16,0,0,0,1,0,0,0
true_5,0,18,23,1,1,153,0,0,0,0,0,0,1,0,0,0,0,0,1,0
true_6,0,1,12,13,3,0,134,9,3,2,0,0,15,1,1,0,0,0,1,0
true_7,2,1,5,4,2,1,4,140,7,1,2,0,20,1,1,1,3,0,3,0
true_8,0,1,1,0,1,0,6,9,158,0,5,0,10,0,0,0,2,2,4,0
true_9,1,1,1,0,0,0,0,0,1,167,13,0,9,0,0,0,1,2,2,1
true_10,0,0,2,0,0,0,0,0,0,5,181,0,7,0,0,1,1,0,3,0
true_11,1,3,11,3,1,1,0,0,2,0,0,132,12,1,3,0,10,3,12,3
true_12,0,9,5,17,1,1,5,3,2,2,0,2,139,7,1,0,1,0,2,0
true_13,1,1,2,0,0,1,1,0,0,1,0,0,4,177,2,0,1,2,5,0
true_14,1,5,1,1,1,1,1,1,0,0,2,0,17,5,150,0,4,0,7,0
true_15,13,2,2,0,0,0,0,2,0,0,0,0,6,2,1,136,1,3,6,25
true_16,2,0,3,0,0,0,0,1,2,1,0,3,1,0,0,0,134,0,29,6
true_17,1,0,0,0,0,2,0,1,0,0,0,0,3,1,1,1,2,167,7,2
true_18,2,0,2,0,0,1,1,0,0,2,2,1,3,2,0,0,13,5,120,1
true_19,24,0,1,0,1,0,0,1,0,0,0,1,2,0,3,37,12,6,5,33
