class,precision,recall,f1,support,roc_auc,pr_auc
0,0.47692307692307695,0.19375,0.27555555555555555,160,0.9118905817174515,0.3778719928089346
1,0.8225806451612904,0.5230769230769231,0.6394984326018809,195,0.9282237762237762,0.7011359651595528
2,0.23958333333333334,0.817258883248731,0.3705408515535098,197,0.9348469414574339,0.5880207749371054
3,0.3597122302158273,0.7653061224489796,0.4893964110929853,196,0.9431059637061315,0.5610465638455842
4,0.7027027027027027,0.40414507772020725,0.5131578947368421,193,0.928181777359961,0.6197636417122948
5,0.0,0.0,0.0,198,0.952318538124809,0.7224978679583927
6,0.9565217391304348,0.11282051282051282,0.2018348623853211,195,0.8203743948359333,0.4679320830830191
7,0.7903225806451613,0.7424242424242424,0.765625,198,0.9602039431266755,0.7473126808862512
8,0.9136690647482014,0.6381909547738693,0.7514792899408284,199,0.9703811693584133,0.8279501708876452
9,1.0,0.4623115577889447,0.6323024054982818,199,0.9714464228169692,0.8741440882037825
10,0.577639751552795,0.93,0.7126436781609196,200,0.9849369747899159,0.922666805369032
11,1.0,0.08585858585858586,0.15813953488372093,198,0.8523335256257988,0.5787864499925027
12,0.3801369863013699,0.5634517766497462,0.4539877300613497,197,0.9032918916691883,0.5368450520782023
13,0.9320987654320988,0.7626262626262627,0.8388888888888889,198,0.983931560849254,0.8831632632036817
14,0.7967914438502673,0.7563451776649747,0.7760416666666666,197,0.9606318397570044,0.8366439622029918
15,0.6406926406926406,0.7437185929648241,0.6883720930232559,199,0.965855601164602,0.7011625681788365
16,0.6751269035532995,0.7307692307692307,0.7018469656992085,182,0.9680252857510383,0.7188516100477415
17,0.8216216216216217,0.8085106382978723,0.8150134048257373,188,0.9837010109649904,0.899847371821871
18,0.4036363636363636,0.7161290322580646,0.5162790697674419,155,0.9522607415339311,0.5818726819595497
19,0.2465753424657534,0.14285714285714285,0.18090452261306533,126,0.9206381875838517,0.23555958821130699
