,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,70,3,0,0,0,1,0,6,3,0,0,2,1,1,2,25,4,15,9,18
true_1,0,144,9,6,7,15,0,3,0,0,0,0,5,1,2,1,0,1,1,0
true_2,0,6,151,11,10,6,0,6,0,1,1,0,2,0,3,0,0,0,0,0
true_3,0,2,28,131,20,1,4,2,2,0,1,0,2,1,0,1,0,0,1,0
true_4,0,5,12,16,137,1,3,10,0,0,0,3,5,0,0,0,0,0,1,0
true_5,0,11,13,1,3,167,0,2,0,0,0,0,0,0,0,0,0,0,1,0
true_6,0,0,7,3,5,0,158,9,5,0,0,2,5,0,1,0,0,0,0,0
true_7,0,0,4,0,4,0,2,154,18,0,0,0,6,1,1,0,2,1,3,2
true_8,1,1,1,0,1,0,1,17,167,0,1,1,1,1,1,0,1,2,2,0
true_9,1,0,0,0,1,1,0,9,3,171,8,2,0,0,0,0,0,3,0,0
true_10,0,0,2,0,0,0,0,7,0,5,178,0,0,0,1,1,1,3,2,0
true_11,2,2,7,0,1,2,0,2,2,0,0,151,6,4,2,0,7,4,5,1
true_12,0,5,5,8,12,1,6,6,4,0,0,4,136,7,2,0,0,1,0,0
true_13,0,2,2,0,0,1,0,3,1,0,0,0,2,179,3,2,1,1,1,0
true_14,0,2,1,0,4,1,0,7,3,0,2,3,5,5,160,0,1,1,2,0
true_15,9,0,3,0,0,0,0,7,1,0,0,0,0,2,1,160,0,2,3,11
true_16,1,1,1,0,0,0,0,1,6,0,0,11,0,1,2,0,128,3,18,9
true_17,0,0,1,0,0,0,0,4,0,0,0,2,0,1,1,0,2,167,6,4
true_18,2,0,4,0,0,0,1,5,0,1,0,7,0,4,2,1,19,15,92,2
true_19,18,0,2,0,0,0,1,2,0,1,0,2,0,2,2,53,12,6,5,20
