,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,73,2,1,0,0,0,0,4,1,0,3,2,2,4,4,20,2,9,6,27
true_1,0,150,7,5,3,15,0,3,0,0,0,0,6,1,2,1,0,1,1,0
true_2,0,8,148,10,7,10,1,5,0,1,1,0,4,0,2,0,0,0,0,0
true_3,0,3,29,134,16,1,4,1,1,0,0,0,4,2,1,0,0,0,0,0
true_4,0,5,12,18,133,2,3,10,0,0,0,3,5,1,0,0,0,0,1,0
true_5,1,9,5,2,2,177,0,1,0,0,0,0,0,0,1,0,0,0,0,0
true_6,0,0,5,2,4,0,160,10,4,1,0,1,5,0,2,1,0,0,0,0
true_7,2,0,5,2,3,0,2,158,12,0,0,0,6,2,1,0,2,0,2,1
true_8,0,1,1,0,1,0,2,19,161,1,1,2,3,1,1,0,1,2,2,0
true_9,2,0,0,0,0,1,0,9,1,173,7,3,0,0,0,0,0,1,1,1
true_10,0,0,2,0,0,0,0,7,0,6,179,0,0,0,0,1,1,1,2,1
true_11,1,1,4,0,0,4,1,2,2,0,0,156,5,3,4,0,7,3,4,1
true_12,0,5,5,6,5,0,8,6,2,0,0,4,147,6,2,0,1,0,0,0
true_13,0,2,2,0,0,1,0,3,1,0,0,0,1,181,1,2,1,1,1,1
true_14,0,4,1,0,1,2,1,7,2,0,2,0,3,3,169,0,1,0,1,0
true_15,8,2,2,0,0,0,0,7,0,0,0,0,0,2,2,156,0,1,2,17
true_16,2,0,2,0,0,1,0,2,4,0,0,15,0,1,2,0,128,2,16,7
true_17,3,0,0,1,0,0,0,4,0,0,0,2,0,1,2,1,2,158,8,6
true_18,4,0,3,0,0,1,1,5,0,1,0,7,0,3,3,2,18,8,97,2
true_19,15,0,2,0,0,0,1,2,0,1,1,3,1,1,3,41,11,4,4,36
