,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,76,2,0,0,0,1,0,6,2,1,0,3,0,4,2,21,5,15,7,15
true_1,0,148,10,6,5,12,0,3,0,0,0,0,6,0,2,1,0,1,1,0
true_2,0,6,152,10,9,6,0,5,0,1,1,1,3,0,3,0,0,0,0,0
true_3,0,4,29,132,16,1,4,2,3,0,1,1,2,1,0,0,0,0,0,0
true_4,0,5,14,15,136,1,3,10,0,1,0,3,5,0,0,0,0,0,0,0
true_5,0,11,13,1,3,166,0,2,0,0,0,0,0,0,1,0,0,0,1,0
true_6,0,0,6,3,4,0,158,9,5,0,0,2,5,0,3,0,0,0,0,0
true_7,1,0,5,1,3,0,2,155,14,0,0,0,7,2,1,0,2,1,3,1
true_8,1,1,1,0,1,0,2,17,164,0,1,1,2,1,3,0,1,2,1,0
true_9,1,0,0,0,0,1,0,9,3,174,4,3,0,0,0,0,0,3,1,0
true_10,0,0,2,0,0,0,0,7,1,7,176,1,0,0,1,1,1,3,0,0
true_11,1,1,6,0,1,4,0,2,2,0,0,153,6,5,3,0,5,4,4,1
true_12,0,4,5,9,9,1,8,5,4,0,0,5,135,9,3,0,0,0,0,0
true_13,0,2,2,0,0,1,1,3,1,0,0,0,1,181,3,1,0,1,1,0
true_14,0,2,1,0,3,1,0,7,3,0,1,2,4,5,163,0,1,1,3,0
true_15,9,0,3,0,0,0,0,7,0,0,0,0,0,3,2,159,0,2,3,11
true_16,2,1,2,0,0,0,0,1,5,0,0,15,0,1,2,0,128,3,16,6
true_17,0,0,1,0,0,0,0,4,1,0,0,2,0,1,1,0,2,166,7,3
true_18,3,0,4,0,0,0,1,4,2,1,0,11,0,4,5,1,19,9,90,1
true_19,25,0,2,0,0,0,0,2,1,1,0,3,1,2,2,54,11,3,5,14
