,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,78,3,0,0,1,1,0,1,2,1,0,1,3,2,3,5,3,9,3,44
true_1,0,156,1,11,0,14,0,0,1,0,0,0,8,0,2,1,0,0,1,0
true_2,0,19,104,40,8,10,1,0,1,0,0,0,11,0,1,0,1,0,0,1
true_3,0,3,10,164,10,0,0,0,1,1,0,1,4,1,0,1,0,0,0,0
true_4,1,6,3,19,146,1,2,0,0,0,0,0,14,0,0,0,0,0,1,0
true_5,0,11,1,3,3,176,0,0,0,0,1,0,1,0,1,0,0,0,0,1
true_6,1,2,3,21,9,0,131,11,5,1,0,1,8,0,1,0,1,0,0,0
true_7,0,0,0,3,7,1,2,147,15,0,0,0,15,1,0,0,3,2,1,1
true_8,0,0,1,1,1,0,2,7,168,0,3,0,9,1,1,0,2,2,0,1
true_9,1,1,0,0,0,0,0,0,1,176,3,2,9,0,0,0,2,1,2,1
true_10,1,1,1,0,1,1,0,0,1,14,169,0,7,0,1,0,1,1,0,1
true_11,3,3,5,1,1,3,0,0,1,0,0,151,9,3,3,0,5,3,5,2
true_12,2,6,1,16,4,1,1,2,1,0,0,4,149,4,1,0,3,1,1,0
true_13,0,1,0,0,2,1,0,0,0,1,0,0,7,177,1,3,1,1,2,1
true_14,3,6,0,0,3,1,1,0,1,0,1,0,12,3,160,1,1,0,3,1
true_15,8,2,0,0,2,0,0,0,1,0,0,0,6,2,1,147,1,2,3,24
true_16,2,0,2,0,1,1,0,0,1,1,0,4,1,0,1,0,147,1,11,9
true_17,2,0,0,0,0,1,0,0,0,0,0,0,3,1,1,1,1,168,5,5
true_18,2,1,0,0,3,0,1,0,1,2,0,2,3,1,2,0,23,10,98,6
true_19,10,0,0,0,2,0,0,0,2,0,0,1,2,0,0,25,14,2,4,64
