client_id,round,contribution,scaled_contribution,data_size
3,1,80.56539154052734,1.0,28711
3,3,65.37471771240234,0.8121318983131068,28711
3,4,61.011627197265625,0.24354590961358139,28711
3,5,58.56540298461914,0.033345225884136825,28711
9,1,79.68177795410156,0.13592616908890148,28711
9,3,65.1268081665039,0.7399275823642281,28711
9,5,60.909420013427734,0.7184341970298355,28711
2,1,79.54277801513672,0.0,28712
2,2,69.01451110839844,0.0,28712
4,1,79.70773315429688,0.1613074099495658,28711
4,4,63.28276443481445,0.8126213323112186,28711
0,1,79.78890228271484,0.24068160792622878,28712
0,2,69.27255249023438,0.09334095029929709,28712
0,3,62.586307525634766,0.0,28712
0,4,60.03965377807617,0.0,28712
5,2,71.18677520751953,0.7857700724991652,28711
5,3,64.15267944335938,0.45620999558916825,28711
5,4,60.99797058105469,0.24012399194415585,28711
5,5,58.45131301879883,0.0,28711
7,2,70.90714263916016,0.6846189723167444,28711
7,5,61.8727912902832,1.0,28711
6,2,71.77901458740234,1.0,28711
1,3,66.0197525024414,1.0,28712
1,5,61.38222122192383,0.8566204343754181,28712
8,4,64.03057861328125,1.0,28711
