client_id,train_samples,val_samples,test_samples,contribution,percentage,num_clients
0,3989,1,1,3989,0.3989,5
1,1,31,3,1,0.0001,5
2,1,915,4,1,0.0001,5
3,33,2267,1,33,0.0033,5
4,5976,1786,4991,5976,0.5976,5
