class,precision,recall,f1,support,roc_auc,pr_auc
0,0.625,0.59375,0.6089743589743589,160,0.958391620498615,0.6693567388641859
1,0.7247706422018348,0.8102564102564103,0.7651331719128329,195,0.9739085529854761,0.8127763743017862
2,0.7616279069767442,0.6649746192893401,0.7100271002710027,197,0.9619410099150282,0.7375562754086982
3,0.6317991631799164,0.7704081632653061,0.6942528735632184,196,0.9755004967851718,0.746569585747796
4,0.8333333333333334,0.6994818652849741,0.7605633802816901,193,0.9730749564358357,0.8191021455271568
5,0.8271028037383178,0.8939393939393939,0.8592233009708737,198,0.9911884805501826,0.9206737903723358
6,0.844559585492228,0.8358974358974359,0.8402061855670103,195,0.9875474269320423,0.9040160801317451
7,0.8805031446540881,0.7070707070707071,0.7843137254901961,198,0.9805918931758797,0.8610405682309996
8,0.7008196721311475,0.8592964824120602,0.7720090293453724,199,0.989047730953845,0.9079363003092891
9,0.8894472361809045,0.8894472361809045,0.8894472361809045,199,0.9934213211112972,0.9485497101095834
10,0.9602272727272727,0.845,0.898936170212766,200,0.9907254901960785,0.9351996384089435
11,0.8219895287958116,0.7929292929292929,0.8071979434447301,198,0.9778241541959347,0.8571737096425247
12,0.8354430379746836,0.6700507614213198,0.7436619718309859,197,0.9667074406043067,0.7915915676026258
13,0.9361702127659575,0.8888888888888888,0.9119170984455959,198,0.9908328808804733,0.9442295797921756
14,0.6132404181184669,0.8934010152284264,0.7272727272727273,197,0.9895934113862997,0.9159603452188019
15,0.8070175438596491,0.6934673366834171,0.745945945945946,199,0.9785654680571718,0.8069816906975695
16,0.7035175879396985,0.7692307692307693,0.7349081364829396,182,0.9786651475614686,0.8058075622078132
17,0.8677248677248677,0.8723404255319149,0.870026525198939,188,0.9927043610487425,0.9230514751960125
18,0.7318840579710145,0.6516129032258065,0.689419795221843,155,0.9697461294784276,0.7350760116561816
19,0.39669421487603307,0.38095238095238093,0.38866396761133604,126,0.9354951823393097,0.3614113904648309
